,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
33041,4,0,127,26,20,3,0,0,176,7615,Temporal,9,2012
33042,12,0,0,7,5,9,0,0,21,7615,Temporal,9,2012
33043,21,0,14,14,47,8,0,0,83,7615,Temporal,9,2012
33044,22,0,1,0,1,2,0,0,4,7615,Temporal,9,2012
33045,27,0,0,0,0,0,0,0,0,7615,Temporal,9,2012
33046,33,0,0,0,0,0,0,2,2,7615,Temporal,9,2012
33047,Total,0,143,47,74,22,0,2,288,7615,Temporal,9,2012
33048,3,0,8,0,1,0,0,0,9,767,Temporal,10,2006
33049,4,0,42,0,5,0,0,0,47,767,Temporal,10,2006
33050,12,0,0,0,0,0,0,0,0,767,Temporal,10,2006
33051,21,0,9,0,35,0,0,0,44,767,Temporal,10,2006
33052,22,0,0,0,0,0,0,0,0,767,Temporal,10,2006
33053,27,0,0,0,0,0,0,0,0,767,Temporal,10,2006
33054,33,0,0,0,0,0,0,0,0,767,Temporal,10,2006
33055,Total,0,59,0,41,0,0,0,100,767,Temporal,10,2006
33056,3,3,4,0,1,0,0,0,8,759,Temporal,5,1999
33057,4,1,38,0,18,3,0,0,60,759,Temporal,5,1999
33058,12,0,0,0,0,0,0,0,0,759,Temporal,5,1999
33059,21,2,22,0,65,14,0,0,103,759,Temporal,5,1999
33060,22,0,0,0,2,2,0,0,4,759,Temporal,5,1999
33061,27,0,0,0,0,0,0,0,0,759,Temporal,5,1999
33062,33,0,1,0,0,0,0,0,1,759,Temporal,5,1999
33063,Total,6,65,0,86,19,0,0,176,759,Temporal,5,1999
33064,3,1,0,0,0,0,0,0,1,7618,Temporal,5,2009
33065,4,0,91,11,9,0,0,0,111,7618,Temporal,5,2009
33066,12,0,2,0,1,0,0,0,3,7618,Temporal,5,2009
33067,21,0,4,4,56,2,0,0,66,7618,Temporal,5,2009
33068,22,0,0,0,0,0,0,0,0,7618,Temporal,5,2009
33069,27,0,0,0,0,0,0,0,0,7618,Temporal,5,2009
33070,33,0,0,0,0,0,0,0,0,7618,Temporal,5,2009
33071,Total,1,97,15,66,2,0,0,181,7618,Temporal,5,2009
33072,3,0,5,0,0,0,0,0,5,752,Temporal,9,1992
33073,4,7,113,2,6,0,0,0,128,752,Temporal,9,1992
33074,12,0,3,0,1,0,0,0,4,752,Temporal,9,1992
33075,21,5,21,1,2,2,0,0,31,752,Temporal,9,1992
33076,22,0,1,0,1,2,0,0,4,752,Temporal,9,1992
33077,27,0,0,0,0,0,0,0,0,752,Temporal,9,1992
33078,33,0,0,0,0,1,0,2,3,752,Temporal,9,1992
33079,Total,12,143,3,10,5,0,2,175,752,Temporal,9,1992
33080,3,0,4,0,0,0,0,0,4,756,Temporal,10,2020
33081,4,0,231,0,39,2,0,0,272,756,Temporal,10,2020
33082,12,0,2,0,3,2,0,1,8,756,Temporal,10,2020
33083,21,0,63,0,66,4,0,2,135,756,Temporal,10,2020
33084,22,0,0,0,2,1,0,0,3,756,Temporal,10,2020
33085,27,0,0,0,0,0,0,0,0,756,Temporal,10,2020
33086,33,0,2,0,0,0,0,5,7,756,Temporal,10,2020
33087,Total,0,302,0,110,9,0,8,429,756,Temporal,10,2020
33088,3,14,3,0,0,3,0,0,20,751,Temporal,5,1996
33089,4,87,65,0,0,0,0,1,153,751,Temporal,5,1996
33090,12,2,5,0,0,1,0,0,8,751,Temporal,5,1996
33091,21,22,9,0,3,0,0,0,34,751,Temporal,5,1996
33092,22,1,2,0,0,6,0,0,9,751,Temporal,5,1996
33093,27,2,3,0,0,1,0,0,6,751,Temporal,5,1996
33094,33,2,0,0,0,1,0,0,3,751,Temporal,5,1996
33095,Total,130,87,0,3,12,0,1,233,751,Temporal,5,1996
33096,3,0,6,0,0,0,0,0,6,7619,Temporal,10,2001
33097,4,0,242,16,14,6,0,0,278,7619,Temporal,10,2001
33098,12,0,5,2,3,3,0,0,13,7619,Temporal,10,2001
33099,21,0,9,1,48,3,0,1,62,7619,Temporal,10,2001
33100,22,0,0,0,0,0,0,0,0,7619,Temporal,10,2001
33101,27,0,0,0,0,0,0,0,0,7619,Temporal,10,2001
33102,33,0,0,0,0,0,0,2,2,7619,Temporal,10,2001
33103,Total,0,262,19,65,12,0,3,361,7619,Temporal,10,2001
33104,3,20,14,0,0,0,0,0,34,746,Temporal,9,1989
33105,4,21,105,0,8,0,0,0,134,746,Temporal,9,1989
33106,12,1,2,0,0,0,0,0,3,746,Temporal,9,1989
33107,21,0,4,0,7,0,0,0,11,746,Temporal,9,1989
33108,22,0,0,0,1,1,0,0,2,746,Temporal,9,1989
33109,27,0,0,0,0,0,0,0,0,746,Temporal,9,1989
33110,33,0,0,0,0,0,0,1,1,746,Temporal,9,1989
33111,Total,42,125,0,16,1,0,1,185,746,Temporal,9,1989
33112,3,24,5,0,0,2,0,0,31,753,Temporal,5,1989
