,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
387,3,1,1,0,0,0,0,0,0,2,775,toExport,10,1996
388,4,0,4,1,0,0,0,0,0,5,775,toExport,10,1996
389,12,0,1,0,0,0,0,0,0,1,775,toExport,10,1996
390,15,0,0,0,0,0,0,0,0,0,775,toExport,10,1996
391,18,0,0,0,0,0,0,0,0,0,775,toExport,10,1996
392,22,0,0,0,0,0,0,0,0,0,775,toExport,10,1996
393,27,0,0,0,0,0,0,0,0,0,775,toExport,10,1996
394,33,0,0,0,0,0,0,0,0,0,775,toExport,10,1996
395,Total,1,6,1,0,0,0,0,0,8,775,toExport,10,1996
396,3,3,0,0,0,0,0,0,0,3,771,toExport,9,1990
397,4,6,112,3,0,0,0,0,0,121,771,toExport,9,1990
398,12,0,3,0,0,0,0,0,0,3,771,toExport,9,1990
399,15,0,0,0,0,0,0,0,0,0,771,toExport,9,1990
400,18,0,0,0,0,0,0,0,0,0,771,toExport,9,1990
401,22,0,0,0,0,0,0,0,0,0,771,toExport,9,1990
402,27,0,1,0,0,0,0,0,0,1,771,toExport,9,1990
403,33,0,0,0,0,0,0,0,1,1,771,toExport,9,1990
404,Total,9,116,3,0,0,0,0,1,129,771,toExport,9,1990
405,3,1,5,0,0,0,0,0,0,6,752,toExport,10,2006
406,4,8,106,0,0,0,0,0,0,114,752,toExport,10,2006
407,12,1,1,0,0,0,1,0,0,3,752,toExport,10,2006
408,15,0,0,0,0,0,0,0,0,0,752,toExport,10,2006
409,18,0,0,0,0,0,0,0,0,0,752,toExport,10,2006
410,22,0,0,0,0,0,2,0,0,2,752,toExport,10,2006
411,27,0,0,0,0,0,0,0,0,0,752,toExport,10,2006
412,33,0,0,0,0,0,1,0,2,3,752,toExport,10,2006
413,Total,10,112,0,0,0,4,0,2,128,752,toExport,10,2006
414,3,6,18,0,0,0,0,0,0,24,757,toExport,5,2010
