,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
135,Total,29,55,15,6,0,3,0,108,746,GTB,6,2013
136,3,0,0,0,0,0,0,0,0,7618,GTB,7,1990
137,4,4,44,11,2,1,0,0,62,7618,GTB,7,1990
138,12,0,1,0,0,0,0,0,1,7618,GTB,7,1990
139,15,0,2,4,8,7,0,0,21,7618,GTB,7,1990
140,18,0,0,0,0,0,0,0,0,7618,GTB,7,1990
141,22,0,0,0,0,0,1,0,1,7618,GTB,7,1990
142,33,0,0,0,0,0,0,0,0,7618,GTB,7,1990
143,Total,4,47,15,10,8,1,0,85,7618,GTB,7,1990
144,3,5,2,0,0,0,1,0,8,753,GTB,7,1996
145,4,12,54,0,2,6,3,1,78,753,GTB,7,1996
146,12,0,1,0,0,0,0,1,2,753,GTB,7,1996
147,15,1,12,0,3,7,1,1,25,753,GTB,7,1996
148,18,2,2,0,1,1,2,0,8,753,GTB,7,1996
149,22,0,1,0,0,0,2,0,3,753,GTB,7,1996
150,33,0,1,0,0,0,1,3,5,753,GTB,7,1996
151,Total,20,73,0,6,14,10,6,129,753,GTB,7,1996
152,3,2,1,0,1,0,0,0,4,766,GTB,6,1991
153,4,11,10,0,7,0,0,0,28,766,GTB,6,1991
154,12,0,0,0,0,0,0,0,0,766,GTB,6,1991
155,15,1,1,0,27,0,1,0,30,766,GTB,6,1991
156,18,0,0,0,0,0,0,0,0,766,GTB,6,1991
157,22,0,0,0,0,0,1,0,1,766,GTB,6,1991
158,33,0,0,0,0,0,0,0,0,766,GTB,6,1991
159,Total,14,12,0,35,0,2,0,63,766,GTB,6,1991
160,3,37,78,0,2,2,1,0,120,Caatinga,GTB,9,2013
161,4,93,1435,231,152,41,56,1,2009,Caatinga,GTB,9,2013
162,12,0,25,18,24,4,36,0,107,Caatinga,GTB,9,2013
163,15,3,220,54,381,61,95,1,815,Caatinga,GTB,9,2013
164,18,3,27,7,12,10,5,0,64,Caatinga,GTB,9,2013
165,22,1,6,4,5,1,14,1,32,Caatinga,GTB,9,2013
166,33,2,7,2,7,0,0,56,74,Caatinga,GTB,9,2013
167,Total,139,1798,316,583,119,207,59,3221,Caatinga,GTB,9,2013
168,3,0,0,0,0,0,0,0,0,7742,GTB,6,1992
169,4,0,0,0,0,0,0,0,0,7742,GTB,6,1992
170,12,0,0,0,0,0,0,0,0,7742,GTB,6,1992
171,15,0,2,0,3,0,0,0,5,7742,GTB,6,1992
172,18,0,0,0,0,0,0,0,0,7742,GTB,6,1992
173,22,0,0,0,0,0,0,0,0,7742,GTB,6,1992
174,33,0,0,0,0,0,0,0,0,7742,GTB,6,1992
175,Total,0,2,0,3,0,0,0,5,7742,GTB,6,1992
176,3,2,0,0,0,0,0,0,2,7615,GTB,5,2009
177,4,0,88,51,14,0,1,0,154,7615,GTB,5,2009
178,12,0,0,9,4,0,7,0,20,7615,GTB,5,2009
179,15,0,8,12,25,0,6,0,51,7615,GTB,5,2009
180,18,2,2,3,1,0,1,0,9,7615,GTB,5,2009
181,22,1,0,0,1,0,2,0,4,7615,GTB,5,2009
182,33,0,0,0,0,0,0,2,2,7615,GTB,5,2009
183,Total,5,98,75,45,0,17,2,242,7615,GTB,5,2009
184,3,17,4,0,0,0,0,0,21,746,GTB,5,2021
185,4,20,54,1,3,0,0,0,78,746,GTB,5,2021
186,12,0,0,0,0,0,0,0,0,746,GTB,5,2021
187,15,0,4,0,2,0,1,0,7,746,GTB,5,2021
188,18,0,0,0,0,0,0,0,0,746,GTB,5,2021
189,22,0,1,0,1,0,0,0,2,746,GTB,5,2021
190,33,0,0,0,0,0,0,0,0,746,GTB,5,2021
191,Total,37,63,1,6,0,1,0,108,746,GTB,5,2021
192,3,4,3,0,0,1,0,0,8,7741,GTB,9,1993
193,4,9,27,4,4,3,0,1,48,7741,GTB,9,1993
194,12,0,1,1,0,1,0,0,3,7741,GTB,9,1993
195,15,0,5,0,7,6,3,0,21,7741,GTB,9,1993
196,18,0,0,0,0,0,0,0,0,7741,GTB,9,1993
197,22,0,1,0,0,0,0,0,1,7741,GTB,9,1993
198,33,0,0,0,0,0,0,0,0,7741,GTB,9,1993
199,Total,13,37,5,11,11,3,1,81,7741,GTB,9,1993
200,3,0,0,0,0,0,0,0,0,773,GTB,7,2009
201,4,0,1,0,1,0,0,0,2,773,GTB,7,2009
202,12,0,0,0,0,1,0,0,1,773,GTB,7,2009
203,15,0,7,0,10,0,0,0,17,773,GTB,7,2009
204,18,0,0,0,0,0,0,0,0,773,GTB,7,2009
205,22,0,0,0,0,0,0,0,0,773,GTB,7,2009
206,33,0,0,0,0,0,0,0,0,773,GTB,7,2009
207,Total,0,8,0,11,1,0,0,20,773,GTB,7,2009
208,3,2,0,0,1,0,0,0,3,7612,GTB,6,1995
209,4,4,56,4,4,0,1,0,69,7612,GTB,6,1995
210,12,0,0,1,4,0,2,0,7,7612,GTB,6,1995
211,15,0,10,1,14,0,0,0,25,7612,GTB,6,1995
212,18,0,0,0,0,0,0,0,0,7612,GTB,6,1995
213,22,0,0,0,0,0,1,0,1,7612,GTB,6,1995
214,33,0,0,0,0,0,0,1,1,7612,GTB,6,1995
215,Total,6,66,6,23,0,4,1,106,7612,GTB,6,1995
216,3,0,1,0,0,0,0,0,1,751,GTB,6,1994
217,4,0,0,0,0,0,0,0,0,751,GTB,6,1994
218,12,0,1,0,0,0,0,0,1,751,GTB,6,1994
219,15,0,0,0,0,0,0,0,0,751,GTB,6,1994
220,18,0,0,0,0,0,0,0,0,751,GTB,6,1994
221,22,1,0,1,0,0,0,0,2,751,GTB,6,1994
222,33,0,0,0,0,0,0,0,0,751,GTB,6,1994
223,Total,1,2,1,0,0,0,0,4,751,GTB,6,1994
224,3,0,0,0,0,0,0,0,0,771,GTB,7,1993
225,4,1,0,9,5,15,3,0,33,771,GTB,7,1993
226,12,0,0,0,0,0,0,0,0,771,GTB,7,1993
227,15,1,0,2,4,5,0,0,12,771,GTB,7,1993
228,18,0,0,0,0,0,0,0,0,771,GTB,7,1993
229,22,0,0,0,0,0,0,0,0,771,GTB,7,1993
230,33,0,0,0,0,0,0,0,0,771,GTB,7,1993
231,Total,2,0,11,9,20,3,0,45,771,GTB,7,1993
232,3,0,0,0,0,0,0,0,0,756,GTB,7,2018
233,4,0,2,0,0,6,0,0,8,756,GTB,7,2018
234,12,0,0,0,0,0,0,0,0,756,GTB,7,2018
235,15,0,0,0,0,0,0,0,0,756,GTB,7,2018
236,18,0,0,0,0,0,0,0,0,756,GTB,7,2018
237,22,0,0,0,0,0,0,0,0,756,GTB,7,2018
238,33,0,0,0,0,0,0,1,1,756,GTB,7,2018
239,Total,0,2,0,0,6,0,1,9,756,GTB,7,2018
240,3,0,0,0,0,0,0,0,0,7742,GTB,6,2008
241,4,0,0,0,0,0,0,0,0,7742,GTB,6,2008
242,12,0,0,0,0,0,0,0,0,7742,GTB,6,2008
