,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
206,Total,0,36,0,0,0,2,0,0,38,764,Temporal,9,1996
207,3,1,1,0,0,0,0,0,0,2,76116,Temporal,9,2016
208,4,4,108,5,0,0,2,0,0,119,76116,Temporal,9,2016
209,12,0,0,0,0,0,0,0,0,0,76116,Temporal,9,2016
210,15,0,0,0,0,0,0,0,0,0,76116,Temporal,9,2016
211,18,0,0,0,0,0,0,0,0,0,76116,Temporal,9,2016
212,22,0,0,0,0,0,1,0,0,1,76116,Temporal,9,2016
213,27,0,0,0,0,0,0,0,0,0,76116,Temporal,9,2016
214,33,0,0,0,0,0,0,0,9,9,76116,Temporal,9,2016
215,Total,5,109,5,0,0,3,0,9,131,76116,Temporal,9,2016
216,3,5,13,0,0,0,0,0,0,18,763,Temporal,5,1991
217,4,14,168,5,0,0,0,0,0,187,763,Temporal,5,1991
218,12,0,2,4,0,0,2,0,1,9,763,Temporal,5,1991
219,15,0,0,0,0,0,0,0,0,0,763,Temporal,5,1991
220,18,0,0,0,0,0,0,0,0,0,763,Temporal,5,1991
221,22,0,1,2,0,0,2,0,1,6,763,Temporal,5,1991
222,27,0,0,0,0,0,0,0,0,0,763,Temporal,5,1991
223,33,0,0,0,0,0,0,0,2,2,763,Temporal,5,1991
224,Total,19,184,11,0,0,4,0,4,222,763,Temporal,5,1991
225,3,32,15,0,0,0,0,0,0,47,7741,Temporal,10,2020
226,4,16,104,4,0,0,0,0,0,124,7741,Temporal,10,2020
227,12,1,5,2,0,0,1,0,0,9,7741,Temporal,10,2020
228,15,0,0,0,0,0,0,0,0,0,7741,Temporal,10,2020
229,18,0,0,0,0,0,0,0,0,0,7741,Temporal,10,2020
230,22,0,1,1,0,0,0,0,0,2,7741,Temporal,10,2020
231,27,0,0,0,0,0,0,0,0,0,7741,Temporal,10,2020
232,33,0,0,0,0,0,0,0,1,1,7741,Temporal,10,2020
233,Total,49,125,7,0,0,1,0,1,183,7741,Temporal,10,2020
234,3,5,6,0,0,0,0,0,0,11,744,Temporal,9,2000
235,4,17,476,16,0,0,4,0,1,514,744,Temporal,9,2000
236,12,0,4,7,0,0,4,0,1,16,744,Temporal,9,2000
237,15,0,0,0,0,0,0,0,0,0,744,Temporal,9,2000
238,18,0,0,0,0,0,0,0,0,0,744,Temporal,9,2000
239,22,0,1,0,0,0,1,0,0,2,744,Temporal,9,2000
240,27,0,0,0,0,0,0,0,0,0,744,Temporal,9,2000
241,33,0,1,0,0,0,0,0,1,2,744,Temporal,9,2000
242,Total,22,488,23,0,0,9,0,3,545,744,Temporal,9,2000
243,3,1,1,0,0,0,0,0,0,2,76116,Temporal,5,2011
244,4,3,90,2,0,0,0,0,0,95,76116,Temporal,5,2011
245,12,0,0,1,0,0,1,0,0,2,76116,Temporal,5,2011
246,15,0,0,0,0,0,0,0,0,0,76116,Temporal,5,2011
247,18,0,0,0,0,0,0,0,0,0,76116,Temporal,5,2011
248,22,0,0,0,0,0,0,0,0,0,76116,Temporal,5,2011
249,27,0,0,0,0,0,0,0,0,0,76116,Temporal,5,2011
250,33,0,0,0,0,0,0,0,9,9,76116,Temporal,5,2011
251,Total,4,91,3,0,0,1,0,9,108,76116,Temporal,5,2011
252,3,0,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
253,4,0,75,16,0,0,0,0,0,91,7616,Temporal,5,2002
254,12,0,1,2,0,0,0,0,0,3,7616,Temporal,5,2002
255,15,0,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
256,18,0,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
257,22,0,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
258,27,0,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
259,33,0,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
260,Total,0,76,18,0,0,0,0,0,94,7616,Temporal,5,2002
261,3,6,9,0,0,0,0,0,0,15,754,Temporal,10,2010
