,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
148,18,0,0,0,0,0,0,0,0,0,76111,Frequency,9,2006
149,22,0,0,0,0,0,1,0,0,1,76111,Frequency,9,2006
150,27,0,0,0,0,0,0,0,0,0,76111,Frequency,9,2006
151,33,0,0,0,0,0,0,0,3,3,76111,Frequency,9,2006
152,Total,0,49,0,0,0,1,0,3,53,76111,Frequency,9,2006
153,3,6,2,0,0,0,0,0,0,8,745,Frequency,5,1988
154,4,24,23,4,0,0,0,0,0,51,745,Frequency,5,1988
155,12,0,0,0,0,0,1,0,0,1,745,Frequency,5,1988
156,15,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
157,18,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
158,22,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
159,27,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
160,33,0,0,0,0,0,0,0,0,0,745,Frequency,5,1988
161,Total,30,25,4,0,0,1,0,0,60,745,Frequency,5,1988
162,3,2,7,0,0,0,0,0,0,9,767,Frequency,5,2009
163,4,0,40,0,0,0,0,0,0,40,767,Frequency,5,2009
164,12,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
165,15,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
166,18,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
167,22,0,0,0,0,0,1,0,0,1,767,Frequency,5,2009
168,27,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
169,33,0,0,0,0,0,0,0,0,0,767,Frequency,5,2009
170,Total,2,47,0,0,0,1,0,0,50,767,Frequency,5,2009
171,3,2,1,0,0,0,0,0,0,3,771,Frequency,9,2017
172,4,7,93,7,0,0,2,0,0,109,771,Frequency,9,2017
173,12,0,4,0,0,0,0,0,0,4,771,Frequency,9,2017
174,15,0,0,0,0,0,0,0,0,0,771,Frequency,9,2017
175,18,0,0,0,0,0,0,0,0,0,771,Frequency,9,2017
176,22,0,2,0,0,0,0,0,0,2,771,Frequency,9,2017
177,27,0,0,0,0,0,0,0,0,0,771,Frequency,9,2017
178,33,0,0,0,0,0,0,0,1,1,771,Frequency,9,2017
179,Total,9,100,7,0,0,2,0,1,119,771,Frequency,9,2017
180,3,137,229,1,0,0,6,0,2,375,Caatinga,Frequency,9,1997
181,4,296,4485,177,0,0,86,0,7,5051,Caatinga,Frequency,9,1997
182,12,4,70,39,0,0,43,0,8,164,Caatinga,Frequency,9,1997
183,15,0,0,0,0,0,0,0,0,0,Caatinga,Frequency,9,1997
