,aggrement,area,bacia,classe,year,Models,version
169,2,55266.85027655664,771,21,2003,Gap-fill,5
170,3,375633.2075330076,771,21,2003,Gap-fill,5
171,1,1012797.2104579776,771,21,2004,Gap-fill,5
172,2,54788.49400974061,771,21,2004,Gap-fill,5
173,3,355781.6533786604,771,21,2004,Gap-fill,5
174,1,942955.5435512954,771,21,2005,Gap-fill,5
175,2,34888.71259920844,771,21,2005,Gap-fill,5
176,3,432987.4059413796,771,21,2005,Gap-fill,5
177,1,956891.7342177096,771,21,2006,Gap-fill,5
178,2,47459.83292427637,771,21,2006,Gap-fill,5
179,3,403413.5547607895,771,21,2006,Gap-fill,5
180,1,931699.236693768,771,21,2007,Gap-fill,5
181,2,45488.81843973117,771,21,2007,Gap-fill,5
182,3,421229.2143120045,771,21,2007,Gap-fill,5
183,1,1037015.043087196,771,21,2008,Gap-fill,5
184,2,106602.70169941432,771,21,2008,Gap-fill,5
185,3,310724.9220717155,771,21,2008,Gap-fill,5
186,1,1061892.421295369,771,21,2009,Gap-fill,5
187,2,88549.7712634776,771,21,2009,Gap-fill,5
188,3,281635.5793640993,771,21,2009,Gap-fill,5
189,1,941971.4502909876,771,21,2010,Gap-fill,5
190,2,62362.03971637556,771,21,2010,Gap-fill,5
191,3,398521.7055169882,771,21,2010,Gap-fill,5
192,1,936757.1388185668,771,21,2011,Gap-fill,5
193,2,74190.262783432,771,21,2011,Gap-fill,5
194,3,409373.790915694,771,21,2011,Gap-fill,5
195,1,848060.8977216821,771,21,2012,Gap-fill,5
196,2,48168.96651938873,771,21,2012,Gap-fill,5
197,3,513667.4399162755,771,21,2012,Gap-fill,5
198,1,1072539.7151843957,771,21,2013,Gap-fill,5
199,2,77365.18860452785,771,21,2013,Gap-fill,5
200,3,289417.15547550854,771,21,2013,Gap-fill,5
201,1,1114119.7103357352,771,21,2014,Gap-fill,5
202,2,103719.6685853765,771,21,2014,Gap-fill,5
203,3,258159.4073491493,771,21,2014,Gap-fill,5
204,1,1137872.064281032,771,21,2015,Gap-fill,5
205,2,100128.29948799452,771,21,2015,Gap-fill,5
206,3,235503.058914363,771,21,2015,Gap-fill,5
207,1,1050954.1261616058,771,21,2016,Gap-fill,5
208,2,55689.657312028095,771,21,2016,Gap-fill,5
209,3,309284.40246415994,771,21,2016,Gap-fill,5
210,1,981632.0289814128,771,21,2017,Gap-fill,5
211,2,67487.34749720873,771,21,2017,Gap-fill,5
212,3,371852.6482813775,771,21,2017,Gap-fill,5
213,1,1062040.7954820252,771,21,2018,Gap-fill,5
214,2,111569.18801561264,771,21,2018,Gap-fill,5
215,3,285408.8880034984,771,21,2018,Gap-fill,5
216,1,1124614.579773343,771,21,2019,Gap-fill,5
217,2,127442.43735713763,771,21,2019,Gap-fill,5
218,3,217063.37587093623,771,21,2019,Gap-fill,5
219,1,984901.262806616,771,21,2020,Gap-fill,5
220,2,80914.09134871587,771,21,2020,Gap-fill,5
221,3,358040.50227917376,771,21,2020,Gap-fill,5
222,1,1173672.1791191616,771,21,2021,Gap-fill,5
223,2,205102.9265362719,771,21,2021,Gap-fill,5
224,3,171345.84322743877,771,21,2021,Gap-fill,5
225,1,1002372.5079995008,771,21,2022,Gap-fill,5
226,2,70615.92614364065,771,21,2022,Gap-fill,5
227,3,344583.3980399615,771,21,2022,Gap-fill,5
228,1,298232.95003106934,7617,33,1985,Gap-fill,5
229,2,13563.46914064867,7617,33,1985,Gap-fill,5
230,3,4825.215574025974,7617,33,1985,Gap-fill,5
231,1,293605.99639942724,7617,33,1986,Gap-fill,5
232,2,3182.094714365953,7617,33,1986,Gap-fill,5
233,3,11687.85736146186,7617,33,1986,Gap-fill,5
234,1,231084.24759497883,7617,33,1987,Gap-fill,5
235,2,1711.3971020095232,7617,33,1987,Gap-fill,5
236,3,65654.11822989384,7617,33,1987,Gap-fill,5
237,1,253158.75087088597,7617,33,1988,Gap-fill,5
238,2,2673.69014857688,7617,33,1988,Gap-fill,5
239,3,43480.63265566216,7617,33,1988,Gap-fill,5
240,1,241663.38946768976,7617,33,1989,Gap-fill,5
241,2,11834.723920863078,7617,33,1989,Gap-fill,5
242,3,54748.78046901437,7617,33,1989,Gap-fill,5
243,1,310594.3325909858,7617,33,1990,Gap-fill,5
244,2,14492.30901069263,7617,33,1990,Gap-fill,5
245,3,2989.85499835061,7617,33,1990,Gap-fill,5
