,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
877,27,0,0,0,1,0,0,0,1,741,Gap-fill,13,1990
878,33,0,0,0,0,0,0,2,2,741,Gap-fill,13,1990
879,Total,15,82,2,9,0,0,2,110,741,Gap-fill,13,1990
880,3,24,7,0,0,1,0,0,32,753,Gap-fill,9,2019
881,4,86,234,2,24,9,0,0,355,753,Gap-fill,9,2019
882,12,2,5,1,5,1,0,1,15,753,Gap-fill,9,2019
883,21,20,61,2,23,25,0,0,131,753,Gap-fill,9,2019
884,22,4,1,5,3,11,0,0,24,753,Gap-fill,9,2019
885,27,0,0,0,0,0,0,0,0,753,Gap-fill,9,2019
886,33,5,4,2,1,0,0,8,20,753,Gap-fill,9,2019
887,Total,141,312,12,56,47,0,9,577,753,Gap-fill,9,2019
888,3,0,3,0,0,0,0,0,3,755,Gap-fill,10,2016
889,4,0,130,0,24,6,0,0,160,755,Gap-fill,10,2016
890,12,0,0,0,2,3,0,0,5,755,Gap-fill,10,2016
891,21,0,31,0,39,22,0,0,92,755,Gap-fill,10,2016
892,22,0,0,0,1,10,0,0,11,755,Gap-fill,10,2016
893,27,0,0,0,0,0,0,0,0,755,Gap-fill,10,2016
894,33,0,1,0,0,2,0,1,4,755,Gap-fill,10,2016
895,Total,0,165,0,66,43,0,1,275,755,Gap-fill,10,2016
896,3,3,6,1,0,0,0,1,11,744,Gap-fill,5,2004
897,4,26,432,59,16,4,0,1,538,744,Gap-fill,5,2004
898,12,0,4,11,3,4,0,0,22,744,Gap-fill,5,2004
899,21,0,25,41,86,8,0,0,160,744,Gap-fill,5,2004
900,22,0,1,0,1,0,0,0,2,744,Gap-fill,5,2004
901,27,0,0,0,0,0,0,0,0,744,Gap-fill,5,2004
902,33,0,0,1,0,1,0,0,2,744,Gap-fill,5,2004
903,Total,29,468,113,106,17,0,2,735,744,Gap-fill,5,2004
904,3,2,14,0,0,0,0,0,16,7621,Gap-fill,5,2004
905,4,0,23,0,2,0,0,0,25,7621,Gap-fill,5,2004
906,12,0,0,0,0,0,0,1,1,7621,Gap-fill,5,2004
907,21,0,6,0,15,1,0,0,22,7621,Gap-fill,5,2004
908,22,0,0,0,0,0,0,0,0,7621,Gap-fill,5,2004
909,27,0,0,0,0,0,0,0,0,7621,Gap-fill,5,2004
910,33,0,0,0,0,0,0,0,0,7621,Gap-fill,5,2004
911,Total,2,43,0,17,1,0,1,64,7621,Gap-fill,5,2004
912,3,2,4,0,0,0,0,0,6,752,Gap-fill,5,2003
913,4,19,93,0,7,5,0,0,124,752,Gap-fill,5,2003
914,12,2,1,0,0,1,0,0,4,752,Gap-fill,5,2003
915,21,6,14,1,8,4,0,1,34,752,Gap-fill,5,2003
916,22,0,1,0,0,3,0,0,4,752,Gap-fill,5,2003
917,27,0,0,0,0,0,0,0,0,752,Gap-fill,5,2003
918,33,0,0,0,0,1,0,2,3,752,Gap-fill,5,2003
919,Total,29,113,1,15,14,0,3,175,752,Gap-fill,5,2003
920,3,0,1,0,1,0,0,0,2,7615,Gap-fill,13,2022
921,4,0,109,2,59,1,0,0,171,7615,Gap-fill,13,2022
922,12,0,0,4,13,4,0,0,21,7615,Gap-fill,13,2022
923,21,0,24,2,59,2,0,1,88,7615,Gap-fill,13,2022
924,22,0,1,0,2,1,0,0,4,7615,Gap-fill,13,2022
925,27,0,0,0,0,0,0,0,0,7615,Gap-fill,13,2022
926,33,0,0,0,0,0,0,2,2,7615,Gap-fill,13,2022
927,Total,0,135,8,134,8,0,3,288,7615,Gap-fill,13,2022
928,3,0,3,0,1,0,0,0,4,7612,Gap-fill,9,1992
929,4,0,98,3,7,3,0,1,112,7612,Gap-fill,9,1992
930,12,0,0,2,2,3,0,0,7,7612,Gap-fill,9,1992
931,21,0,18,1,29,4,0,1,53,7612,Gap-fill,9,1992
932,22,0,0,0,2,1,0,0,3,7612,Gap-fill,9,1992
933,27,0,1,0,0,0,0,0,1,7612,Gap-fill,9,1992
934,33,0,0,0,0,0,0,1,1,7612,Gap-fill,9,1992
935,Total,0,120,6,41,11,0,3,181,7612,Gap-fill,9,1992
936,3,1,4,1,0,0,0,0,6,7619,Gap-fill,5,2000
937,4,9,200,43,14,11,0,0,277,7619,Gap-fill,5,2000
938,12,0,0,5,4,3,0,1,13,7619,Gap-fill,5,2000
939,21,0,7,9,38,8,0,0,62,7619,Gap-fill,5,2000
940,22,0,0,0,0,0,0,0,0,7619,Gap-fill,5,2000
941,27,0,1,0,0,0,0,0,1,7619,Gap-fill,5,2000
942,33,0,0,0,0,1,0,1,2,7619,Gap-fill,5,2000
943,Total,10,212,58,56,23,0,2,361,7619,Gap-fill,5,2000
944,3,0,7,0,1,0,0,0,8,767,Gap-fill,10,2004
945,4,0,38,0,10,0,0,0,48,767,Gap-fill,10,2004
946,12,0,0,0,0,0,0,0,0,767,Gap-fill,10,2004
947,21,0,14,0,29,1,0,0,44,767,Gap-fill,10,2004
948,22,0,0,0,0,0,0,0,0,767,Gap-fill,10,2004
949,27,0,0,0,0,0,0,0,0,767,Gap-fill,10,2004
950,33,0,0,0,0,0,0,0,0,767,Gap-fill,10,2004
951,Total,0,59,0,40,1,0,0,100,767,Gap-fill,10,2004
952,3,6,1,0,1,0,0,0,8,745,Gap-fill,10,1996
953,4,23,24,0,1,2,0,0,50,745,Gap-fill,10,1996
954,12,0,0,0,0,1,0,0,1,745,Gap-fill,10,1996
955,21,0,7,0,4,1,0,0,12,745,Gap-fill,10,1996
956,22,0,0,0,0,0,0,0,0,745,Gap-fill,10,1996
957,27,0,0,0,0,0,0,0,0,745,Gap-fill,10,1996
958,33,0,0,0,0,0,0,0,0,745,Gap-fill,10,1996
959,Total,29,32,0,6,4,0,0,71,745,Gap-fill,10,1996
960,3,0,3,0,0,0,0,0,3,7612,Gap-fill,13,2006
961,4,0,82,16,5,0,0,0,103,7612,Gap-fill,13,2006
962,12,0,2,1,3,2,0,0,8,7612,Gap-fill,13,2006
963,21,0,22,13,22,2,0,0,59,7612,Gap-fill,13,2006
964,22,0,0,2,1,1,0,0,4,7612,Gap-fill,13,2006
965,27,0,1,0,0,0,0,0,1,7612,Gap-fill,13,2006
966,33,0,0,0,0,0,0,3,3,7612,Gap-fill,13,2006
967,Total,0,110,32,31,5,0,3,181,7612,Gap-fill,13,2006
968,3,0,5,1,0,0,0,0,6,7619,Gap-fill,9,2001
969,4,0,220,36,17,5,0,0,278,7619,Gap-fill,9,2001
970,12,0,4,3,3,3,0,0,13,7619,Gap-fill,9,2001
971,21,0,11,6,41,3,0,1,62,7619,Gap-fill,9,2001
972,22,0,0,0,0,0,0,0,0,7619,Gap-fill,9,2001
973,27,0,0,0,0,0,0,0,0,7619,Gap-fill,9,2001
974,33,0,0,0,0,0,0,2,2,7619,Gap-fill,9,2001
975,Total,0,240,46,61,11,0,3,361,7619,Gap-fill,9,2001
976,3,0,13,0,1,0,0,0,14,765,Gap-fill,13,2016
