,classes,3,4,12,21,22,33,Total,bacia,model,version,year
163,12,0,0,0,0,0,0,0,76111,FrequencyV3St2,18,1994
164,21,0,30,2,94,0,0,126,76111,FrequencyV3St2,18,1994
165,22,0,0,0,1,0,0,1,76111,FrequencyV3St2,18,1994
166,33,0,0,0,0,0,3,3,76111,FrequencyV3St2,18,1994
167,Total,0,62,2,113,0,3,180,76111,FrequencyV3St2,18,1994
168,3,6,20,0,0,0,0,26,7741,FrequencyV3St2,18,2019
169,4,0,95,0,3,0,0,98,7741,FrequencyV3St2,18,2019
170,12,0,8,0,1,0,0,9,7741,FrequencyV3St2,18,2019
171,21,0,56,1,52,0,0,109,7741,FrequencyV3St2,18,2019
172,22,0,2,0,0,0,0,2,7741,FrequencyV3St2,18,2019
173,33,0,0,0,0,0,1,1,7741,FrequencyV3St2,18,2019
174,Total,6,181,1,56,0,1,245,7741,FrequencyV3St2,18,2019
175,3,0,1,0,0,0,0,1,7421,FrequencyV3St2,18,2005
176,4,0,56,0,5,0,0,61,7421,FrequencyV3St2,18,2005
177,12,0,0,0,2,0,0,2,7421,FrequencyV3St2,18,2005
178,21,0,9,0,7,0,0,16,7421,FrequencyV3St2,18,2005
179,22,0,0,0,0,0,0,0,7421,FrequencyV3St2,18,2005
180,33,0,0,0,0,0,0,0,7421,FrequencyV3St2,18,2005
181,Total,0,66,0,14,0,0,80,7421,FrequencyV3St2,18,2005
182,3,1,10,0,0,0,0,11,744,FrequencyV3St2,18,2005
183,4,3,478,0,51,0,1,533,744,FrequencyV3St2,18,2005
184,12,0,9,1,11,0,0,21,744,FrequencyV3St2,18,2005
185,21,0,40,0,113,0,0,153,744,FrequencyV3St2,18,2005
186,22,0,1,0,1,0,0,2,744,FrequencyV3St2,18,2005
187,33,0,1,0,1,0,0,2,744,FrequencyV3St2,18,2005
188,Total,4,539,1,177,0,1,722,744,FrequencyV3St2,18,2005
189,3,6,7,0,2,0,0,15,776,FrequencyV3St2,18,1996
190,4,2,137,0,54,0,0,193,776,FrequencyV3St2,18,1996
191,12,0,1,4,4,0,0,9,776,FrequencyV3St2,18,1996
192,21,0,20,1,112,0,0,133,776,FrequencyV3St2,18,1996
193,22,0,0,2,0,0,0,2,776,FrequencyV3St2,18,1996
194,33,0,0,0,1,0,0,1,776,FrequencyV3St2,18,1996
195,Total,8,165,7,173,0,0,353,776,FrequencyV3St2,18,1996
196,3,2,10,0,3,0,0,15,765,FrequencyV3St2,18,1999
