,classes,3,4,12,21,22,33,Total,bacia,model,version,year
226,12,0,2,0,0,0,0,2,745,SpatialV3su,36,2010
227,21,0,6,0,2,0,0,8,745,SpatialV3su,36,2010
228,22,0,0,0,0,0,0,0,745,SpatialV3su,36,2010
229,33,0,0,0,0,0,0,0,745,SpatialV3su,36,2010
230,Total,26,51,0,3,0,0,80,745,SpatialV3su,36,2010
231,3,7,1,0,1,0,0,9,772,SpatialV3su,36,1996
232,4,10,88,0,37,0,0,135,772,SpatialV3su,36,1996
233,12,0,1,0,0,0,0,1,772,SpatialV3su,36,1996
234,21,0,35,1,156,0,0,192,772,SpatialV3su,36,1996
235,22,0,0,0,1,0,0,1,772,SpatialV3su,36,1996
236,33,0,0,0,0,0,0,0,772,SpatialV3su,36,1996
237,Total,17,125,1,195,0,0,338,772,SpatialV3su,36,1996
238,3,0,1,0,0,0,0,1,7421,SpatialV3su,36,2001
239,4,0,63,0,6,0,0,69,7421,SpatialV3su,36,2001
240,12,0,1,0,1,0,0,2,7421,SpatialV3su,36,2001
241,21,0,10,0,7,0,0,17,7421,SpatialV3su,36,2001
242,22,0,0,0,0,0,0,0,7421,SpatialV3su,36,2001
243,33,0,0,0,0,0,0,0,7421,SpatialV3su,36,2001
244,Total,0,75,0,14,0,0,89,7421,SpatialV3su,36,2001
245,3,0,0,0,0,0,0,0,7618,SpatialV3su,36,2001
246,4,0,91,2,9,0,0,102,7618,SpatialV3su,36,2001
247,12,0,2,0,1,0,0,3,7618,SpatialV3su,36,2001
248,21,0,8,0,45,0,0,53,7618,SpatialV3su,36,2001
249,22,0,1,0,0,0,0,1,7618,SpatialV3su,36,2001
250,33,0,0,0,0,0,0,0,7618,SpatialV3su,36,2001
251,Total,0,102,2,55,0,0,159,7618,SpatialV3su,36,2001
252,3,19,19,0,0,0,0,38,746,SpatialV3su,36,1988
253,4,10,142,0,7,0,0,159,746,SpatialV3su,36,1988
254,12,0,5,0,0,0,0,5,746,SpatialV3su,36,1988
255,21,0,8,0,8,0,0,16,746,SpatialV3su,36,1988
256,22,0,2,0,1,0,0,3,746,SpatialV3su,36,1988
257,33,0,0,0,0,0,1,1,746,SpatialV3su,36,1988
258,Total,29,176,0,16,0,1,222,746,SpatialV3su,36,1988
259,3,3,1,0,0,0,0,4,7742,SpatialV3su,36,2020
260,4,5,10,0,4,0,0,19,7742,SpatialV3su,36,2020
261,12,0,0,2,0,0,0,2,7742,SpatialV3su,36,2020
262,21,1,16,0,103,0,0,120,7742,SpatialV3su,36,2020
263,22,0,0,0,1,0,0,1,7742,SpatialV3su,36,2020
264,33,0,0,0,0,0,2,2,7742,SpatialV3su,36,2020
265,Total,9,27,2,108,0,2,148,7742,SpatialV3su,36,2020
266,3,1,11,0,1,0,0,13,744,SpatialV3su,36,2009
267,4,0,517,0,39,1,0,557,744,SpatialV3su,36,2009
268,12,0,9,3,7,0,0,19,744,SpatialV3su,36,2009
269,21,0,46,0,104,0,0,150,744,SpatialV3su,36,2009
270,22,0,1,0,1,0,0,2,744,SpatialV3su,36,2009
271,33,0,2,0,0,0,0,2,744,SpatialV3su,36,2009
272,Total,1,586,3,152,1,0,743,744,SpatialV3su,36,2009
273,3,0,0,0,0,0,0,0,7613,SpatialV3su,36,2006
274,4,1,117,0,34,0,0,152,7613,SpatialV3su,36,2006
275,12,0,1,0,14,2,0,17,7613,SpatialV3su,36,2006
276,21,0,10,0,11,0,0,21,7613,SpatialV3su,36,2006
277,22,0,0,0,1,0,0,1,7613,SpatialV3su,36,2006
278,33,0,0,0,0,0,1,1,7613,SpatialV3su,36,2006
279,Total,1,128,0,60,2,1,192,7613,SpatialV3su,36,2006
280,3,0,0,0,0,0,0,0,7618,SpatialV3su,36,2004
281,4,0,92,2,8,0,0,102,7618,SpatialV3su,36,2004
282,12,0,2,0,1,0,0,3,7618,SpatialV3su,36,2004
283,21,0,8,0,45,0,0,53,7618,SpatialV3su,36,2004
284,22,0,1,0,0,0,0,1,7618,SpatialV3su,36,2004
285,33,0,0,0,0,0,0,0,7618,SpatialV3su,36,2004
286,Total,0,103,2,54,0,0,159,7618,SpatialV3su,36,2004
287,3,7,9,1,1,0,0,18,751,SpatialV3su,36,2001
288,4,27,116,0,0,0,0,143,751,SpatialV3su,36,2001
289,12,0,4,1,3,0,0,8,751,SpatialV3su,36,2001
290,21,1,31,0,5,0,0,37,751,SpatialV3su,36,2001
291,22,0,4,4,1,0,0,9,751,SpatialV3su,36,2001
292,33,0,0,1,1,1,0,3,751,SpatialV3su,36,2001
293,Total,35,164,7,11,1,0,218,751,SpatialV3su,36,2001
294,3,19,17,0,0,0,0,36,746,SpatialV3su,36,2013
295,4,12,141,0,0,0,0,153,746,SpatialV3su,36,2013
296,12,0,4,0,0,0,0,4,746,SpatialV3su,36,2013
297,21,0,12,0,13,0,0,25,746,SpatialV3su,36,2013
298,22,0,1,0,2,0,0,3,746,SpatialV3su,36,2013
299,33,0,0,0,0,0,1,1,746,SpatialV3su,36,2013
300,Total,31,175,0,15,0,1,222,746,SpatialV3su,36,2013
301,3,4,12,0,2,0,0,18,765,SpatialV3su,36,1992
302,4,4,115,0,21,0,0,140,765,SpatialV3su,36,1992
303,12,0,0,0,0,0,0,0,765,SpatialV3su,36,1992
304,21,1,17,0,83,0,0,101,765,SpatialV3su,36,1992
305,22,0,2,0,2,2,0,6,765,SpatialV3su,36,1992
306,33,0,1,0,0,0,1,2,765,SpatialV3su,36,1992
307,Total,9,147,0,108,2,1,267,765,SpatialV3su,36,1992
308,3,0,0,0,0,0,0,0,7618,SpatialV3su,36,1997
309,4,0,92,2,8,0,0,102,7618,SpatialV3su,36,1997
310,12,0,2,0,1,0,0,3,7618,SpatialV3su,36,1997
311,21,0,7,0,46,0,0,53,7618,SpatialV3su,36,1997
312,22,0,1,0,0,0,0,1,7618,SpatialV3su,36,1997
313,33,0,0,0,0,0,0,0,7618,SpatialV3su,36,1997
314,Total,0,102,2,55,0,0,159,7618,SpatialV3su,36,1997
315,3,1,0,0,0,0,0,1,773,SpatialV3su,36,2000
316,4,0,3,0,4,0,0,7,773,SpatialV3su,36,2000
317,12,0,0,0,0,0,1,1,773,SpatialV3su,36,2000
318,21,0,3,0,34,0,0,37,773,SpatialV3su,36,2000
319,22,0,0,0,2,0,0,2,773,SpatialV3su,36,2000
320,33,0,0,0,0,0,0,0,773,SpatialV3su,36,2000
321,Total,1,6,0,40,0,1,48,773,SpatialV3su,36,2000
322,3,0,6,0,0,0,0,6,7619,SpatialV3su,36,2012
323,4,2,246,4,21,0,0,273,7619,SpatialV3su,36,2012
324,12,0,7,0,6,0,0,13,7619,SpatialV3su,36,2012
325,21,0,11,0,44,0,0,55,7619,SpatialV3su,36,2012
326,22,0,1,0,0,0,0,1,7619,SpatialV3su,36,2012
327,33,0,0,0,0,0,1,1,7619,SpatialV3su,36,2012
328,Total,2,271,4,71,0,1,349,7619,SpatialV3su,36,2012
329,3,11,10,0,1,0,0,22,776,SpatialV3su,36,2000
330,4,7,137,4,44,0,0,192,776,SpatialV3su,36,2000
331,12,0,0,7,1,1,0,9,776,SpatialV3su,36,2000
332,21,2,39,1,113,0,0,155,776,SpatialV3su,36,2000
333,22,0,0,2,0,0,0,2,776,SpatialV3su,36,2000
334,33,0,0,0,0,0,1,1,776,SpatialV3su,36,2000
335,Total,20,186,14,159,1,1,381,776,SpatialV3su,36,2000
336,3,3,1,0,0,0,0,4,741,SpatialV3su,36,2002
337,4,4,94,0,0,0,0,98,741,SpatialV3su,36,2002
338,12,0,3,0,1,0,0,4,741,SpatialV3su,36,2002
339,21,0,21,0,7,0,0,28,741,SpatialV3su,36,2002
340,22,0,0,0,2,0,0,2,741,SpatialV3su,36,2002
341,33,0,0,0,0,0,2,2,741,SpatialV3su,36,2002
342,Total,7,119,0,10,0,2,138,741,SpatialV3su,36,2002
343,3,0,0,0,0,0,0,0,7614,SpatialV3su,36,1989
344,4,0,82,0,6,0,0,88,7614,SpatialV3su,36,1989
345,12,0,0,0,0,0,0,0,7614,SpatialV3su,36,1989
346,21,0,19,0,25,0,0,44,7614,SpatialV3su,36,1989
347,22,0,0,0,0,0,0,0,7614,SpatialV3su,36,1989
348,33,0,0,0,0,0,0,0,7614,SpatialV3su,36,1989
