,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
206,18,0,0,0,0,0,0,,0,0,741,RF,7,2002
207,22,0,0,0,0,0,0,,0,0,741,RF,7,2002
208,33,0,0,0,0,0,0,,1,1,741,RF,7,2002
209,Total,2,21,1,3,3,0,,1,31,741,RF,7,2002
210,3,0,5,0,0,0,1,0.0,0,6,7619,RF,10,1996
211,4,0,218,22,29,0,7,0.0,0,276,7619,RF,10,1996
212,12,0,1,3,5,0,3,1.0,0,13,7619,RF,10,1996
213,15,0,9,4,18,30,2,0.0,0,63,7619,RF,10,1996
214,18,0,1,0,0,0,0,0.0,0,1,7619,RF,10,1996
215,22,0,1,0,0,0,0,0.0,0,1,7619,RF,10,1996
216,27,0,0,0,0,0,0,0.0,0,0,7619,RF,10,1996
217,33,0,0,0,0,0,0,0.0,2,2,7619,RF,10,1996
218,Total,0,235,29,52,30,13,1.0,2,362,7619,RF,10,1996
219,3,0,1,0,1,0,0,0.0,0,2,7615,RF,10,1998
220,4,0,153,0,14,0,25,0.0,0,192,7615,RF,10,1998
221,12,0,2,0,6,0,13,0.0,0,21,7615,RF,10,1998
222,15,0,18,0,15,0,23,0.0,0,56,7615,RF,10,1998
223,18,0,6,0,5,0,0,0.0,0,11,7615,RF,10,1998
224,22,0,1,0,1,0,2,0.0,0,4,7615,RF,10,1998
225,27,0,0,0,0,0,0,0.0,0,0,7615,RF,10,1998
226,33,0,0,0,0,0,0,0.0,2,2,7615,RF,10,1998
227,Total,0,181,0,42,0,63,0.0,2,288,7615,RF,10,1998
228,3,0,0,0,0,0,0,,0,0,756,RF,7,2019
229,4,0,6,1,1,0,0,,0,8,756,RF,7,2019
230,12,0,0,0,0,0,0,,0,0,756,RF,7,2019
231,15,0,0,0,0,0,0,,0,0,756,RF,7,2019
232,18,0,0,0,0,0,0,,0,0,756,RF,7,2019
233,22,0,0,0,0,0,0,,0,0,756,RF,7,2019
234,33,0,0,0,0,0,1,,0,1,756,RF,7,2019
235,Total,0,6,1,1,0,1,,0,9,756,RF,7,2019
236,3,0,0,0,0,0,0,,0,0,772,RF,6,1997
237,4,2,13,0,3,0,2,,0,20,772,RF,6,1997
238,12,0,0,0,0,0,0,,0,0,772,RF,6,1997
239,15,0,2,0,9,0,7,,0,18,772,RF,6,1997
240,18,0,1,0,0,0,0,,0,1,772,RF,6,1997
241,22,0,0,0,0,0,0,,0,0,772,RF,6,1997
242,33,0,0,0,0,0,0,,0,0,772,RF,6,1997
243,Total,2,16,0,12,0,9,,0,39,772,RF,6,1997
244,3,3,19,0,0,0,0,0.0,0,22,7622,RF,10,2006
245,4,6,68,0,4,0,0,0.0,0,78,7622,RF,10,2006
246,12,1,0,0,1,0,0,0.0,0,2,7622,RF,10,2006
247,15,0,10,0,8,0,0,0.0,0,18,7622,RF,10,2006
248,18,0,1,0,0,0,0,0.0,0,1,7622,RF,10,2006
249,22,0,0,0,0,0,0,0.0,0,0,7622,RF,10,2006
250,27,0,0,0,0,0,0,0.0,0,0,7622,RF,10,2006
251,33,0,0,0,0,0,0,0.0,0,0,7622,RF,10,2006
252,Total,10,98,0,13,0,0,0.0,0,121,7622,RF,10,2006
253,3,0,0,0,0,0,0,,0,0,773,RF,6,1992
254,4,0,2,1,0,0,1,,0,4,773,RF,6,1992
255,12,0,0,0,0,0,0,,1,1,773,RF,6,1992
256,15,0,4,0,7,0,4,,0,15,773,RF,6,1992
257,18,0,0,0,0,0,0,,0,0,773,RF,6,1992
258,22,0,0,0,0,0,0,,0,0,773,RF,6,1992
259,33,0,0,0,0,0,0,,0,0,773,RF,6,1992
260,Total,0,6,1,7,0,5,,1,20,773,RF,6,1992
261,3,1,2,0,1,0,0,0.0,0,4,771,RF,5,1988
262,4,1,86,18,29,0,5,2.0,1,142,771,RF,5,1988
263,12,0,1,1,2,0,0,0.0,0,4,771,RF,5,1988
264,15,2,15,1,91,0,24,3.0,2,138,771,RF,5,1988
265,18,0,0,0,1,0,0,0.0,0,1,771,RF,5,1988
266,22,0,0,0,0,0,0,0.0,0,0,771,RF,5,1988
267,27,0,0,0,0,0,0,0.0,0,0,771,RF,5,1988
268,33,0,0,0,0,0,0,0.0,1,1,771,RF,5,1988
269,Total,4,104,20,124,0,29,5.0,4,290,771,RF,5,1988
270,3,4,3,0,0,0,0,,0,7,744,RF,6,1986
271,4,31,191,21,9,0,3,,4,259,744,RF,6,1986
272,12,0,5,4,3,0,1,,0,13,744,RF,6,1986
273,15,0,5,8,16,0,4,,0,33,744,RF,6,1986
274,18,0,0,0,2,0,2,,0,4,744,RF,6,1986
275,22,0,1,0,0,0,0,,0,1,744,RF,6,1986
276,33,0,0,1,0,0,0,,0,1,744,RF,6,1986
277,Total,35,205,34,30,0,10,,4,318,744,RF,6,1986
278,3,0,2,0,0,0,0,0.0,0,2,7615,RF,10,1988
279,4,0,159,19,19,8,1,0.0,1,207,7615,RF,10,1988
280,12,0,3,0,2,7,6,0.0,3,21,7615,RF,10,1988
281,15,0,15,3,24,0,3,0.0,0,45,7615,RF,10,1988
282,18,0,3,2,3,0,0,0.0,0,8,7615,RF,10,1988
283,22,0,0,0,2,0,1,0.0,0,3,7615,RF,10,1988
284,27,0,0,0,0,0,0,0.0,0,0,7615,RF,10,1988
285,33,0,0,0,0,0,0,0.0,2,2,7615,RF,10,1988
286,Total,0,182,24,50,15,11,0.0,6,288,7615,RF,10,1988
287,3,6,5,0,0,0,0,0.0,0,11,7742,RF,10,2016
288,4,8,20,0,2,0,0,0.0,0,30,7742,RF,10,2016
289,12,0,1,0,2,0,0,0.0,0,3,7742,RF,10,2016
290,15,0,60,6,67,0,3,0.0,0,136,7742,RF,10,2016
291,18,0,1,0,0,0,0,0.0,0,1,7742,RF,10,2016
292,22,0,2,0,0,0,1,0.0,0,3,7742,RF,10,2016
293,27,0,0,0,0,0,0,0.0,0,0,7742,RF,10,2016
294,33,0,0,0,0,0,0,0.0,0,0,7742,RF,10,2016
295,Total,14,89,6,71,0,4,0.0,0,184,7742,RF,10,2016
296,3,0,0,0,0,0,0,0.0,0,0,7614,RF,5,2016
297,4,9,64,0,6,0,1,0.0,0,80,7614,RF,5,2016
298,12,0,0,0,0,0,0,0.0,0,0,7614,RF,5,2016
299,15,2,23,0,39,0,13,0.0,0,77,7614,RF,5,2016
300,18,0,0,0,1,1,0,0.0,0,2,7614,RF,5,2016
301,22,0,0,0,0,0,1,1.0,0,2,7614,RF,5,2016
302,27,0,0,0,0,0,0,0.0,0,0,7614,RF,5,2016
303,33,0,0,0,0,0,0,0.0,0,0,7614,RF,5,2016
304,Total,11,87,0,46,1,15,1.0,0,161,7614,RF,5,2016
305,3,0,0,0,0,0,0,0.0,0,0,7614,RF,5,2018
306,4,8,71,0,2,0,1,0.0,0,82,7614,RF,5,2018
307,12,0,0,0,0,0,0,0.0,0,0,7614,RF,5,2018
308,15,1,30,0,36,0,7,0.0,0,74,7614,RF,5,2018
309,18,0,1,0,2,0,0,0.0,0,3,7614,RF,5,2018
310,22,0,0,0,0,0,1,1.0,0,2,7614,RF,5,2018
311,27,0,0,0,0,0,0,0.0,0,0,7614,RF,5,2018
312,33,0,0,0,0,0,0,0.0,0,0,7614,RF,5,2018
313,Total,9,102,0,40,0,9,1.0,0,161,7614,RF,5,2018
314,3,5,2,1,0,0,0,0.0,0,8,745,RF,5,2015
315,4,24,27,4,0,0,0,0.0,0,55,745,RF,5,2015
316,12,0,0,0,0,0,1,0.0,0,1,745,RF,5,2015
317,15,0,2,1,3,0,1,0.0,0,7,745,RF,5,2015
318,18,0,0,0,0,0,0,0.0,0,0,745,RF,5,2015
319,22,0,0,0,0,0,0,0.0,0,0,745,RF,5,2015
320,27,0,0,0,0,0,0,0.0,0,0,745,RF,5,2015
321,33,0,0,0,0,0,0,0.0,0,0,745,RF,5,2015
322,Total,29,31,6,3,0,2,0.0,0,71,745,RF,5,2015
323,3,1,0,0,0,0,0,,0,1,751,RF,6,2017
324,4,0,0,0,0,0,0,,0,0,751,RF,6,2017
325,12,0,1,0,0,0,0,,0,1,751,RF,6,2017
326,15,0,0,0,0,0,0,,0,0,751,RF,6,2017
327,18,0,0,0,0,0,0,,0,0,751,RF,6,2017
328,22,0,1,0,0,0,1,,0,2,751,RF,6,2017
329,33,0,0,0,0,0,0,,0,0,751,RF,6,2017
330,Total,1,2,0,0,0,1,,0,4,751,RF,6,2017
331,3,0,1,0,0,0,0,,0,1,755,RF,7,2001
332,4,6,61,8,3,21,0,,0,99,755,RF,7,2001
333,12,0,0,2,0,1,0,,0,3,755,RF,7,2001
334,15,0,10,7,11,14,2,,0,44,755,RF,7,2001
335,18,0,0,0,0,4,0,,0,4,755,RF,7,2001
336,22,0,1,2,1,0,1,,0,5,755,RF,7,2001
337,33,1,0,0,0,1,0,,1,3,755,RF,7,2001
338,Total,7,73,19,15,41,3,,1,159,755,RF,7,2001
339,3,37,12,0,0,0,0,0.0,0,49,7741,RF,5,2001
340,4,21,96,10,12,0,0,0.0,1,140,7741,RF,5,2001
341,12,0,5,4,0,0,1,0.0,0,10,7741,RF,5,2001
342,15,3,56,6,79,0,17,1.0,0,162,7741,RF,5,2001
343,18,1,0,0,0,0,0,0.0,0,1,7741,RF,5,2001
344,22,0,0,1,0,0,0,0.0,0,1,7741,RF,5,2001
345,27,0,1,0,0,0,0,0.0,0,1,7741,RF,5,2001
346,33,0,0,0,0,0,0,0.0,0,0,7741,RF,5,2001
347,Total,62,170,21,91,0,18,1.0,1,364,7741,RF,5,2001
348,3,0,4,0,2,0,0,,0,6,767,RF,7,1986
349,4,1,22,2,21,0,0,,0,46,767,RF,7,1986
350,12,0,1,0,0,0,0,,0,1,767,RF,7,1986
351,15,0,6,0,23,0,3,,0,32,767,RF,7,1986
352,18,0,0,0,0,0,0,,0,0,767,RF,7,1986
353,22,0,0,0,0,0,0,,0,0,767,RF,7,1986
