,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
121,4,8,58,1,0,0,0,0,67,7614,toExport,5,2017
122,12,0,0,0,0,0,0,0,0,7614,toExport,5,2017
123,15,0,0,0,0,0,0,0,0,7614,toExport,5,2017
124,18,0,0,0,0,0,0,0,0,7614,toExport,5,2017
125,22,0,0,0,0,0,0,0,0,7614,toExport,5,2017
126,33,0,0,0,0,0,0,0,0,7614,toExport,5,2017
127,Total,8,58,1,0,0,0,0,67,7614,toExport,5,2017
128,3,2,0,0,0,0,0,0,2,752,toExport,5,2000
129,4,13,99,1,0,0,0,0,113,752,toExport,5,2000
130,12,1,2,0,0,0,1,0,4,752,toExport,5,2000
131,15,0,0,0,0,0,0,0,0,752,toExport,5,2000
132,18,0,0,0,0,0,0,0,0,752,toExport,5,2000
133,22,0,1,0,0,0,2,0,3,752,toExport,5,2000
134,33,0,0,0,0,0,1,1,2,752,toExport,5,2000
135,Total,16,102,1,0,0,4,1,124,752,toExport,5,2000
136,3,3,4,0,0,0,0,0,7,767,toExport,5,1995
137,4,3,44,1,0,0,0,0,48,767,toExport,5,1995
138,12,0,0,0,0,0,0,0,0,767,toExport,5,1995
139,15,0,0,0,0,0,0,0,0,767,toExport,5,1995
140,18,0,0,0,0,0,0,0,0,767,toExport,5,1995
141,22,1,0,0,0,0,0,0,1,767,toExport,5,1995
142,33,0,0,0,0,0,0,0,0,767,toExport,5,1995
143,Total,7,48,1,0,0,0,0,56,767,toExport,5,1995
144,3,5,13,0,0,0,0,0,18,763,toExport,5,2016
145,4,7,177,6,0,0,0,0,190,763,toExport,5,2016
146,12,0,4,4,0,0,3,0,11,763,toExport,5,2016
147,15,0,0,0,0,0,0,0,0,763,toExport,5,2016
148,18,0,0,0,0,0,0,0,0,763,toExport,5,2016
149,22,0,0,2,0,0,2,0,4,763,toExport,5,2016
150,33,1,0,0,0,0,0,2,3,763,toExport,5,2016
151,Total,13,194,12,0,0,5,2,226,763,toExport,5,2016
152,3,1,1,0,0,0,0,0,2,775,toExport,9,1987
153,4,0,3,0,0,0,0,0,3,775,toExport,9,1987
154,12,0,0,0,0,0,0,0,0,775,toExport,9,1987
155,15,0,0,0,0,0,0,0,0,775,toExport,9,1987
156,18,0,0,0,0,0,0,0,0,775,toExport,9,1987
157,22,0,0,0,0,0,0,0,0,775,toExport,9,1987
158,33,0,0,0,0,0,0,0,0,775,toExport,9,1987
159,Total,1,4,0,0,0,0,0,5,775,toExport,9,1987
160,3,1,2,0,0,0,0,0,3,756,toExport,5,2007
161,4,9,183,15,0,0,0,0,207,756,toExport,5,2007
162,12,1,1,2,0,0,0,1,5,756,toExport,5,2007
163,15,0,0,0,0,0,0,0,0,756,toExport,5,2007
164,18,0,0,0,0,0,0,0,0,756,toExport,5,2007
165,22,0,2,4,0,0,1,0,7,756,toExport,5,2007
166,33,0,0,0,0,0,0,9,9,756,toExport,5,2007
167,Total,11,188,21,0,0,1,10,231,756,toExport,5,2007
168,3,0,14,0,0,0,0,0,14,765,toExport,9,1992
169,4,0,96,0,0,0,1,1,98,765,toExport,9,1992
170,12,0,0,0,0,0,0,0,0,765,toExport,9,1992
171,15,0,0,0,0,0,0,0,0,765,toExport,9,1992
172,18,0,0,0,0,0,0,0,0,765,toExport,9,1992
173,22,0,1,0,0,0,4,0,5,765,toExport,9,1992
174,33,0,0,0,0,0,0,2,2,765,toExport,9,1992
175,Total,0,111,0,0,0,5,3,119,765,toExport,9,1992
176,3,8,5,1,0,0,0,1,15,776,toExport,5,1994
177,4,8,145,4,0,0,3,0,160,776,toExport,5,1994
178,12,0,0,3,0,0,5,0,8,776,toExport,5,1994
179,15,0,0,0,0,0,0,0,0,776,toExport,5,1994
180,18,0,0,0,0,0,0,0,0,776,toExport,5,1994
181,22,0,0,1,0,0,0,0,1,776,toExport,5,1994
182,33,0,0,0,0,0,0,1,1,776,toExport,5,1994
183,Total,16,150,9,0,0,8,2,185,776,toExport,5,1994
184,3,1,1,0,0,0,0,0,2,741,toExport,5,2019
185,4,5,72,0,0,0,0,0,77,741,toExport,5,2019
186,12,0,1,0,0,0,0,0,1,741,toExport,5,2019
187,15,0,0,0,0,0,0,0,0,741,toExport,5,2019
188,18,0,0,0,0,0,0,0,0,741,toExport,5,2019
189,22,0,0,0,0,0,0,0,0,741,toExport,5,2019
190,33,0,0,0,0,0,0,2,2,741,toExport,5,2019
191,Total,6,74,0,0,0,0,2,82,741,toExport,5,2019
192,3,2,1,0,0,0,0,0,3,752,toExport,5,2005
193,4,11,92,0,0,0,1,0,104,752,toExport,5,2005
194,12,0,1,0,0,0,3,0,4,752,toExport,5,2005
195,15,0,0,0,0,0,0,0,0,752,toExport,5,2005
196,18,0,0,0,0,0,0,0,0,752,toExport,5,2005
197,22,0,1,0,0,0,2,0,3,752,toExport,5,2005
198,33,1,0,0,0,0,0,1,2,752,toExport,5,2005
199,Total,14,95,0,0,0,6,1,116,752,toExport,5,2005
200,3,0,0,0,0,0,0,0,0,758,toExport,5,1995
201,4,1,76,1,0,0,2,0,80,758,toExport,5,1995
202,12,0,0,0,0,0,1,0,1,758,toExport,5,1995
203,15,0,0,0,0,0,0,0,0,758,toExport,5,1995
204,18,0,0,0,0,0,0,0,0,758,toExport,5,1995
205,22,0,0,0,0,0,1,0,1,758,toExport,5,1995
206,33,0,1,0,0,0,1,0,2,758,toExport,5,1995
207,Total,1,77,1,0,0,5,0,84,758,toExport,5,1995
208,3,0,0,0,0,0,0,0,0,7618,toExport,5,2008
209,4,0,85,10,0,0,0,0,95,7618,toExport,5,2008
210,12,0,2,0,0,0,0,0,2,7618,toExport,5,2008
211,15,0,0,0,0,0,0,0,0,7618,toExport,5,2008
212,18,0,0,0,0,0,0,0,0,7618,toExport,5,2008
213,22,0,0,0,0,0,1,0,1,7618,toExport,5,2008
214,33,0,0,0,0,0,0,0,0,7618,toExport,5,2008
215,Total,0,87,10,0,0,1,0,98,7618,toExport,5,2008
216,3,18,14,0,0,0,0,0,32,746,toExport,9,2019
217,4,13,112,0,0,0,0,0,125,746,toExport,9,2019
218,12,0,2,0,0,0,0,0,2,746,toExport,9,2019
219,15,0,0,0,0,0,0,0,0,746,toExport,9,2019
220,18,0,0,0,0,0,0,0,0,746,toExport,9,2019
221,22,0,1,0,0,0,1,0,2,746,toExport,9,2019
222,33,0,0,0,0,0,0,1,1,746,toExport,9,2019
223,Total,31,129,0,0,0,1,1,162,746,toExport,9,2019
224,3,22,5,0,0,0,0,0,27,7741,toExport,5,2005
225,4,18,63,7,0,0,0,0,88,7741,toExport,5,2005
226,12,1,4,2,0,0,0,0,7,7741,toExport,5,2005
227,15,0,0,0,0,0,0,0,0,7741,toExport,5,2005
228,18,0,0,0,0,0,0,0,0,7741,toExport,5,2005
229,22,0,0,1,0,0,0,0,1,7741,toExport,5,2005
230,33,0,0,0,0,0,0,0,0,7741,toExport,5,2005
231,Total,41,72,10,0,0,0,0,123,7741,toExport,5,2005
232,3,2,0,0,0,0,0,0,2,771,toExport,9,1990
233,4,5,102,3,0,0,0,0,110,771,toExport,9,1990
234,12,0,3,0,0,0,0,0,3,771,toExport,9,1990
235,15,0,0,0,0,0,0,0,0,771,toExport,9,1990
236,18,0,0,0,0,0,0,0,0,771,toExport,9,1990
237,22,0,0,0,0,0,0,0,0,771,toExport,9,1990
238,33,0,0,0,0,0,0,0,0,771,toExport,9,1990
239,Total,7,105,3,0,0,0,0,115,771,toExport,9,1990
240,3,1,3,0,0,0,0,0,4,757,toExport,5,2010
241,4,2,119,6,0,0,2,0,129,757,toExport,5,2010
242,12,0,0,1,0,0,0,0,1,757,toExport,5,2010
243,15,0,0,0,0,0,0,0,0,757,toExport,5,2010
244,18,0,0,0,0,0,0,0,0,757,toExport,5,2010
245,22,0,3,0,0,0,0,0,3,757,toExport,5,2010
246,33,0,2,0,0,0,0,4,6,757,toExport,5,2010
247,Total,3,127,7,0,0,2,4,143,757,toExport,5,2010
248,3,0,5,1,0,0,0,0,6,7619,toExport,9,1993
