,classes,3,4,12,21,22,33,Total,bacia,model,version,year
81,22,0,0,0,0,0,0,0,7421,SpatialV3,30,2020
82,33,0,0,0,0,0,0,0,7421,SpatialV3,30,2020
83,Total,0,77,5,7,0,0,89,7421,SpatialV3,30,2020
84,3,8,7,2,0,1,0,18,751,SpatialV3,30,2000
85,4,41,97,3,3,0,0,144,751,SpatialV3,30,2000
86,12,0,3,1,4,0,0,8,751,SpatialV3,30,2000
87,21,9,18,1,8,0,0,36,751,SpatialV3,30,2000
88,22,0,4,2,0,3,0,9,751,SpatialV3,30,2000
89,33,0,0,2,1,0,0,3,751,SpatialV3,30,2000
90,Total,58,129,11,16,4,0,218,751,SpatialV3,30,2000
91,3,3,0,0,0,0,0,3,7612,SpatialV3,30,2008
92,4,6,81,7,8,0,0,102,7612,SpatialV3,30,2008
93,12,0,1,4,3,0,0,8,7612,SpatialV3,30,2008
94,21,0,21,4,32,0,0,57,7612,SpatialV3,30,2008
95,22,0,1,0,3,0,0,4,7612,SpatialV3,30,2008
96,33,0,0,0,0,0,3,3,7612,SpatialV3,30,2008
97,Total,9,104,15,46,0,3,177,7612,SpatialV3,30,2008
98,3,7,5,0,0,0,0,12,759,SpatialV3,30,1995
99,4,1,25,2,7,0,0,35,759,SpatialV3,30,1995
100,12,0,0,0,0,0,0,0,759,SpatialV3,30,1995
101,21,2,29,0,49,0,0,80,759,SpatialV3,30,1995
102,22,0,0,0,2,0,0,2,759,SpatialV3,30,1995
103,33,0,1,0,0,0,0,1,759,SpatialV3,30,1995
104,Total,10,60,2,58,0,0,130,759,SpatialV3,30,1995
105,3,0,0,0,0,0,0,0,7616,SpatialV3,30,2006
106,4,0,68,3,22,0,0,93,7616,SpatialV3,30,2006
107,12,0,1,1,1,0,0,3,7616,SpatialV3,30,2006
108,21,0,3,1,27,0,0,31,7616,SpatialV3,30,2006
109,22,0,0,0,0,0,0,0,7616,SpatialV3,30,2006
110,33,0,0,0,0,0,0,0,7616,SpatialV3,30,2006
111,Total,0,72,5,50,0,0,127,7616,SpatialV3,30,2006
112,3,0,13,0,1,0,0,14,744,SpatialV3,30,1997
113,4,0,479,7,67,0,1,554,744,SpatialV3,30,1997
114,12,0,5,6,9,1,0,21,744,SpatialV3,30,1997
115,21,0,40,2,107,1,0,150,744,SpatialV3,30,1997
116,22,0,0,0,2,0,0,2,744,SpatialV3,30,1997
117,33,0,0,0,2,0,0,2,744,SpatialV3,30,1997
118,Total,0,537,15,188,2,1,743,744,SpatialV3,30,1997
119,3,0,0,0,0,0,0,0,7492,SpatialV3,30,1999
120,4,0,3,0,0,0,0,3,7492,SpatialV3,30,1999
121,12,0,0,0,0,0,0,0,7492,SpatialV3,30,1999
122,21,0,0,0,0,0,0,0,7492,SpatialV3,30,1999
123,22,0,0,0,0,0,0,0,7492,SpatialV3,30,1999
124,33,0,0,0,0,0,0,0,7492,SpatialV3,30,1999
125,Total,0,3,0,0,0,0,3,7492,SpatialV3,30,1999
126,3,6,10,0,1,0,0,17,765,SpatialV3,30,2008
127,4,6,96,0,28,0,0,130,765,SpatialV3,30,2008
128,12,0,0,0,0,0,0,0,765,SpatialV3,30,2008
129,21,2,13,0,97,0,0,112,765,SpatialV3,30,2008
130,22,0,1,0,2,3,0,6,765,SpatialV3,30,2008
131,33,0,1,0,0,0,1,2,765,SpatialV3,30,2008
132,Total,14,121,0,128,3,1,267,765,SpatialV3,30,2008
133,3,1,3,0,0,0,0,4,7422,SpatialV3,30,1986
134,4,10,118,6,13,0,0,147,7422,SpatialV3,30,1986
135,12,0,2,2,2,0,0,6,7422,SpatialV3,30,1986
136,21,1,12,2,15,0,0,30,7422,SpatialV3,30,1986
137,22,0,0,0,0,0,0,0,7422,SpatialV3,30,1986
138,33,0,0,0,0,0,2,2,7422,SpatialV3,30,1986
139,Total,12,135,10,30,0,2,189,7422,SpatialV3,30,1986
140,3,8,11,0,0,0,0,19,763,SpatialV3,30,2008
141,4,9,188,7,30,0,0,234,763,SpatialV3,30,2008
142,12,0,4,6,5,0,0,15,763,SpatialV3,30,2008
143,21,0,31,2,117,0,0,150,763,SpatialV3,30,2008
144,22,0,3,0,1,0,0,4,763,SpatialV3,30,2008
145,33,0,0,0,0,0,3,3,763,SpatialV3,30,2008
146,Total,17,237,15,153,0,3,425,763,SpatialV3,30,2008
147,3,3,1,0,0,0,0,4,741,SpatialV3,30,1990
148,4,14,89,0,0,0,0,103,741,SpatialV3,30,1990
149,12,0,1,0,2,0,0,3,741,SpatialV3,30,1990
150,21,4,14,0,6,0,0,24,741,SpatialV3,30,1990
151,22,0,1,0,0,1,0,2,741,SpatialV3,30,1990
152,33,0,0,0,0,0,2,2,741,SpatialV3,30,1990
153,Total,21,106,0,8,1,2,138,741,SpatialV3,30,1990
154,3,0,4,0,1,0,0,5,756,SpatialV3,30,2003
155,4,0,161,42,41,0,0,244,756,SpatialV3,30,2003
156,12,0,1,2,3,0,0,6,756,SpatialV3,30,2003
157,21,0,48,10,71,0,0,129,756,SpatialV3,30,2003
158,22,0,1,3,4,0,0,8,756,SpatialV3,30,2003
159,33,0,0,1,1,0,6,8,756,SpatialV3,30,2003
160,Total,0,215,58,121,0,6,400,756,SpatialV3,30,2003
161,3,0,0,0,1,0,1,2,7615,SpatialV3,30,1990
162,4,2,144,3,47,0,0,196,7615,SpatialV3,30,1990
163,12,0,2,0,16,3,0,21,7615,SpatialV3,30,1990
