,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
188,Total,0,96,30,0,0,21,0,1,148,7613,Spatial,10,2005
189,3,2,16,0,0,0,0,0,0,18,763,Spatial,9,2000
190,4,8,167,4,0,0,0,0,0,179,763,Spatial,9,2000
191,12,0,5,5,0,0,0,0,0,10,763,Spatial,9,2000
192,15,0,0,0,0,0,0,0,0,0,763,Spatial,9,2000
193,18,0,0,0,0,0,0,0,0,0,763,Spatial,9,2000
194,22,0,1,1,0,0,2,0,0,4,763,Spatial,9,2000
195,27,0,0,0,0,0,0,0,0,0,763,Spatial,9,2000
196,33,0,0,0,0,0,1,0,2,3,763,Spatial,9,2000
197,Total,10,189,10,0,0,3,0,2,214,763,Spatial,9,2000
198,3,0,0,0,0,0,0,0,0,0,7613,Spatial,5,2006
199,4,5,86,31,0,0,3,0,0,125,7613,Spatial,5,2006
200,12,0,0,3,0,0,5,0,0,8,7613,Spatial,5,2006
201,15,0,0,0,0,0,0,0,0,0,7613,Spatial,5,2006
202,18,0,0,0,0,0,0,0,0,0,7613,Spatial,5,2006
203,22,0,0,0,0,0,0,0,0,0,7613,Spatial,5,2006
204,27,0,0,0,0,0,0,0,0,0,7613,Spatial,5,2006
205,33,1,0,0,0,0,0,0,0,1,7613,Spatial,5,2006
206,Total,6,86,34,0,0,8,0,0,134,7613,Spatial,5,2006
207,3,0,3,0,0,0,0,0,0,3,755,Spatial,10,2019
208,4,0,144,0,0,0,2,0,0,146,755,Spatial,10,2019
209,12,0,1,0,0,0,0,0,0,1,755,Spatial,10,2019
210,15,0,0,0,0,0,0,0,0,0,755,Spatial,10,2019
211,18,0,0,0,0,0,0,0,0,0,755,Spatial,10,2019
212,22,0,2,0,0,0,7,0,0,9,755,Spatial,10,2019
213,27,0,0,0,0,0,0,0,0,0,755,Spatial,10,2019
214,33,0,2,0,0,0,2,0,1,5,755,Spatial,10,2019
215,Total,0,152,0,0,0,11,0,1,164,755,Spatial,10,2019
216,3,0,18,1,0,0,2,0,0,21,751,Spatial,9,1994
217,4,0,152,0,0,0,1,0,0,153,751,Spatial,9,1994
218,12,0,6,2,0,0,1,0,0,9,751,Spatial,9,1994
219,15,0,0,0,0,0,0,0,0,0,751,Spatial,9,1994
220,18,0,0,0,0,0,0,0,0,0,751,Spatial,9,1994
221,22,0,6,3,0,0,3,0,0,12,751,Spatial,9,1994
222,27,0,0,0,0,0,0,0,0,0,751,Spatial,9,1994
