,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year,15,18
191,Total,97,91,3,21.0,17,0.0,1,230,751,RF,10,2005,,
192,3,0,12,0,2.0,0,0.0,1,15,7621,RF,5,1998,,
193,4,0,20,0,5.0,0,0.0,0,25,7621,RF,5,1998,,
194,12,0,0,0,1.0,0,0.0,0,1,7621,RF,5,1998,,
195,21,0,3,4,15.0,1,0.0,0,23,7621,RF,5,1998,,
196,22,0,0,0,0.0,0,0.0,0,0,7621,RF,5,1998,,
197,27,0,0,0,0.0,0,0.0,0,0,7621,RF,5,1998,,
198,33,0,0,0,0.0,0,0.0,0,0,7621,RF,5,1998,,
199,Total,0,35,4,23.0,1,0.0,1,64,7621,RF,5,1998,,
200,3,0,1,0,0.0,0,0.0,0,1,758,RF,11,2004,,
201,4,0,84,10,12.0,0,0.0,0,106,758,RF,11,2004,,
202,12,0,1,3,1.0,0,0.0,0,5,758,RF,11,2004,,
203,21,0,49,15,32.0,0,0.0,0,96,758,RF,11,2004,,
204,22,0,0,0,0.0,1,0.0,0,1,758,RF,11,2004,,
205,27,0,0,0,0.0,0,0.0,0,0,758,RF,11,2004,,
206,33,0,0,3,0.0,0,0.0,1,4,758,RF,11,2004,,
207,Total,0,135,31,45.0,1,0.0,1,213,758,RF,11,2004,,
208,3,0,19,0,1.0,0,0.0,0,20,7621,RF,11,1986,,
209,4,0,26,0,2.0,0,0.0,0,28,7621,RF,11,1986,,
210,12,0,1,0,0.0,0,0.0,0,1,7621,RF,11,1986,,
211,21,0,6,0,9.0,0,0.0,0,15,7621,RF,11,1986,,
212,22,0,0,0,0.0,0,0.0,0,0,7621,RF,11,1986,,
213,27,0,0,0,0.0,0,0.0,0,0,7621,RF,11,1986,,
214,33,0,0,0,0.0,0,0.0,0,0,7621,RF,11,1986,,
215,Total,0,52,0,12.0,0,0.0,0,64,7621,RF,11,1986,,
216,3,1,3,0,0.0,0,0.0,0,4,7422,RF,11,2005,,
217,4,5,97,9,14.0,0,0.0,0,125,7422,RF,11,2005,,
218,12,0,1,1,4.0,0,0.0,0,6,7422,RF,11,2005,,
219,21,1,25,3,20.0,0,0.0,0,49,7422,RF,11,2005,,
220,22,0,0,0,0.0,0,0.0,0,0,7422,RF,11,2005,,
221,27,0,0,0,0.0,0,0.0,0,0,7422,RF,11,2005,,
222,33,0,0,1,0.0,0,0.0,2,3,7422,RF,11,2005,,
223,Total,7,126,14,38.0,0,0.0,2,187,7422,RF,11,2005,,
224,3,85,215,9,41.0,0,0.0,0,350,Caatinga,RF,12,1989,,
225,4,441,3480,281,961.0,2,0.0,7,5172,Caatinga,RF,12,1989,,
226,12,5,78,43,80.0,1,0.0,1,208,Caatinga,RF,12,1989,,
227,21,122,668,245,1621.0,10,0.0,7,2673,Caatinga,RF,12,1989,,
