,aggrement,area,bacia,classe,year,Models,version
256,2,12307.60164390504,741,21,1994,Frequency,10
257,3,41976.27370866663,741,21,1994,Frequency,10
258,1,27642.64987928391,741,21,1995,Frequency,10
259,2,9707.751334712808,741,21,1995,Frequency,10
260,3,40096.0821954815,741,21,1995,Frequency,10
261,1,26618.6078533701,741,21,1996,Frequency,10
262,2,5657.496939236734,741,21,1996,Frequency,10
263,3,40263.8724135737,741,21,1996,Frequency,10
264,1,32283.804743558725,741,21,1997,Frequency,10
265,2,6681.983061372092,741,21,1997,Frequency,10
266,3,37912.6378866271,741,21,1997,Frequency,10
267,1,33889.57070473156,741,21,1998,Frequency,10
268,2,9373.551480709844,741,21,1998,Frequency,10
269,3,41017.61055930776,741,21,1998,Frequency,10
270,1,38563.42865166806,741,21,1999,Frequency,10
271,2,11535.22566170892,741,21,1999,Frequency,10
272,3,45745.44078202622,741,21,1999,Frequency,10
273,1,43417.615167795615,741,21,2000,Frequency,10
274,2,9498.5028408882,741,21,2000,Frequency,10
275,3,49879.38085809338,741,21,2000,Frequency,10
276,1,44380.126372555154,741,21,2001,Frequency,10
277,2,9024.052584385165,741,21,2001,Frequency,10
278,3,51113.282097727184,741,21,2001,Frequency,10
279,1,48586.71861447818,741,21,2002,Frequency,10
280,2,10034.699466885806,741,21,2002,Frequency,10
281,3,48082.69202948632,741,21,2002,Frequency,10
282,1,45669.08224420573,741,21,2003,Frequency,10
283,2,5829.043368049956,741,21,2003,Frequency,10
284,3,56004.83869809919,741,21,2003,Frequency,10
285,1,46851.486045672056,741,21,2004,Frequency,10
286,2,6237.035211880741,741,21,2004,Frequency,10
287,3,59883.85829248085,741,21,2004,Frequency,10
288,1,50526.6566662415,741,21,2005,Frequency,10
289,2,7080.936651261036,741,21,2005,Frequency,10
290,3,64175.15318425783,741,21,2005,Frequency,10
291,1,50527.60609154305,741,21,2006,Frequency,10
292,2,7198.875096052052,741,21,2006,Frequency,10
293,3,62358.62182549373,741,21,2006,Frequency,10
294,1,52627.48346281768,741,21,2007,Frequency,10
295,2,8234.773430205096,741,21,2007,Frequency,10
296,3,57561.82427719422,741,21,2007,Frequency,10
297,1,46032.42931405988,741,21,2008,Frequency,10
298,2,5713.453434226158,741,21,2008,Frequency,10
299,3,60762.73206125404,741,21,2008,Frequency,10
300,1,46393.95717599237,741,21,2009,Frequency,10
301,2,6178.5220957212,741,21,2009,Frequency,10
302,3,59090.050630326776,741,21,2009,Frequency,10
303,1,51866.5558983693,741,21,2010,Frequency,10
304,2,7326.842169208317,741,21,2010,Frequency,10
305,3,51553.56532699342,741,21,2010,Frequency,10
306,1,55345.894403793005,741,21,2011,Frequency,10
307,2,11825.3592954022,741,21,2011,Frequency,10
308,3,49567.72853404471,741,21,2011,Frequency,10
309,1,56875.8921546579,741,21,2012,Frequency,10
310,2,7136.4862385432425,741,21,2012,Frequency,10
311,3,61990.85787788401,741,21,2012,Frequency,10
312,1,56286.11378753683,741,21,2013,Frequency,10
313,2,5744.682094308475,741,21,2013,Frequency,10
314,3,68257.68603127783,741,21,2013,Frequency,10
315,1,64985.41688764282,741,21,2014,Frequency,10
316,2,6778.8072633519305,741,21,2014,Frequency,10
317,3,72001.13212071784,741,21,2014,Frequency,10
318,1,61527.44050118723,741,21,2015,Frequency,10
319,2,4117.71430549132,741,21,2015,Frequency,10
320,3,81789.31989403733,741,21,2015,Frequency,10
321,1,67056.83194973583,741,21,2016,Frequency,10
322,2,4671.410560053515,741,21,2016,Frequency,10
323,3,82055.91618732704,741,21,2016,Frequency,10
324,1,67025.38874102099,741,21,2017,Frequency,10
325,2,5216.953796967033,741,21,2017,Frequency,10
326,3,84521.94790823475,741,21,2017,Frequency,10
327,1,65885.29767907459,741,21,2018,Frequency,10
328,2,4985.069337464238,741,21,2018,Frequency,10
329,3,87271.93968779559,741,21,2018,Frequency,10
330,1,64405.31279548451,741,21,2019,Frequency,10
331,2,4434.140828695216,741,21,2019,Frequency,10
332,3,88210.32574973094,741,21,2019,Frequency,10
333,1,62634.55644176739,741,21,2020,Frequency,10
334,2,4874.971309813547,741,21,2020,Frequency,10
335,3,89318.26013554657,741,21,2020,Frequency,10
336,1,62096.89967236296,741,21,2021,Frequency,10
337,2,4989.863665648363,741,21,2021,Frequency,10
338,3,85786.59702444587,741,21,2021,Frequency,10
339,1,53403.324788621656,741,21,2022,Frequency,10
340,2,3424.074704045607,741,21,2022,Frequency,10
341,3,94027.6177050066,741,21,2022,Frequency,10
342,1,22742.296377091097,752,33,1985,Frequency,10
343,2,1189.1608908433868,752,33,1985,Frequency,10
344,3,1364.5379371127262,752,33,1985,Frequency,10
345,1,21720.87788288151,752,33,1986,Frequency,10
346,2,1654.630754319544,752,33,1986,Frequency,10
347,3,3054.608132241044,752,33,1986,Frequency,10
348,1,21728.647306944025,752,33,1987,Frequency,10
349,2,1323.929212538369,752,33,1987,Frequency,10
350,3,3339.055022510792,752,33,1987,Frequency,10
351,1,22720.58736746152,752,33,1988,Frequency,10
352,2,2780.683652246022,752,33,1988,Frequency,10
353,3,2584.314724934635,752,33,1988,Frequency,10
354,1,22245.20515782127,752,33,1989,Frequency,10
355,2,2427.588352515198,752,33,1989,Frequency,10
356,3,3017.197981055716,752,33,1989,Frequency,10
357,1,19846.197228263434,752,33,1990,Frequency,10
358,2,1839.670830517696,752,33,1990,Frequency,10
359,3,3961.1221356267006,752,33,1990,Frequency,10
360,1,16590.95062259321,752,33,1991,Frequency,10
361,2,1783.3004797309432,752,33,1991,Frequency,10
362,3,4341.920954796356,752,33,1991,Frequency,10
363,1,13400.127748066929,752,33,1992,Frequency,10
364,2,908.806075627729,752,33,1992,Frequency,10
365,3,4941.042431559476,752,33,1992,Frequency,10
366,1,10802.059038749212,752,33,1993,Frequency,10
367,2,937.951777490354,752,33,1993,Frequency,10
368,3,5625.620112738921,752,33,1993,Frequency,10
369,1,12324.71724882308,752,33,1994,Frequency,10
370,2,2736.024104434792,752,33,1994,Frequency,10
371,3,4765.98751944004,752,33,1994,Frequency,10
372,1,16091.347318830318,752,33,1995,Frequency,10
373,2,1941.7598134325483,752,33,1995,Frequency,10
374,3,2631.083420415446,752,33,1995,Frequency,10
375,1,17625.832269330764,752,33,1996,Frequency,10
376,2,3408.651115783681,752,33,1996,Frequency,10
377,3,1396.7318124623023,752,33,1996,Frequency,10
378,1,17286.2508840918,752,33,1997,Frequency,10
379,2,2435.4291771605504,752,33,1997,Frequency,10
380,3,2047.214417479389,752,33,1997,Frequency,10
381,1,14699.659864967063,752,33,1998,Frequency,10
382,2,1172.3496671702187,752,33,1998,Frequency,10
383,3,3603.3851369825447,752,33,1998,Frequency,10
384,1,15756.551052268218,752,33,1999,Frequency,10
385,2,2111.1084267929723,752,33,1999,Frequency,10
386,3,4302.275892703497,752,33,1999,Frequency,10
387,1,16816.429884255896,752,33,2000,Frequency,10
388,2,1443.0264097432466,752,33,2000,Frequency,10
389,3,2540.296074331797,752,33,2000,Frequency,10
390,1,17914.50069151818,752,33,2001,Frequency,10
391,2,1812.6001628261904,752,33,2001,Frequency,10
392,3,1974.318681226448,752,33,2001,Frequency,10
393,1,18874.51057879282,752,33,2002,Frequency,10
394,2,3364.5588432540826,752,33,2002,Frequency,10
395,3,1551.877378382881,752,33,2002,Frequency,10
396,1,19882.92378126433,752,33,2003,Frequency,10
397,2,3168.1214521634706,752,33,2003,Frequency,10
398,3,1845.908520723661,752,33,2003,Frequency,10
399,1,22410.854933111077,752,33,2004,Frequency,10
400,2,4483.681023188624,752,33,2004,Frequency,10
401,3,1888.8107626030644,752,33,2004,Frequency,10
402,1,20225.239906760653,752,33,2005,Frequency,10
403,2,1981.330720126617,752,33,2005,Frequency,10
404,3,2350.2100713211103,752,33,2005,Frequency,10
405,1,17831.85637118466,752,33,2006,Frequency,10
406,2,949.426171266061,752,33,2006,Frequency,10
407,3,4280.421884468254,752,33,2006,Frequency,10
408,1,17576.773815958735,752,33,2007,Frequency,10
409,2,910.0479226575668,752,33,2007,Frequency,10
410,3,4315.165199524527,752,33,2007,Frequency,10
411,1,20502.73933852806,752,33,2008,Frequency,10
412,2,2236.951444351997,752,33,2008,Frequency,10
413,3,2464.991643332352,752,33,2008,Frequency,10
414,1,21499.78354479577,752,33,2009,Frequency,10
415,2,3841.845460582711,752,33,2009,Frequency,10
416,3,2136.1598846992297,752,33,2009,Frequency,10
417,1,19691.05061917924,752,33,2010,Frequency,10
418,2,2806.490911937088,752,33,2010,Frequency,10
419,3,2328.223078136251,752,33,2010,Frequency,10
420,1,20380.1235767743,752,33,2011,Frequency,10
421,2,3112.533725335686,752,33,2011,Frequency,10
422,3,1556.166787223476,752,33,2011,Frequency,10
423,1,17790.331311590577,752,33,2012,Frequency,10
424,2,1190.0745078002926,752,33,2012,Frequency,10
425,3,2411.396703548461,752,33,2012,Frequency,10
426,1,12155.09180784708,752,33,2013,Frequency,10
427,2,985.8215927461996,752,33,2013,Frequency,10
428,3,2346.371974555618,752,33,2013,Frequency,10
429,1,8301.186689674443,752,33,2014,Frequency,10
430,2,854.7295770096125,752,33,2014,Frequency,10
431,3,1900.9135519421843,752,33,2014,Frequency,10
432,1,6447.703932289321,752,33,2015,Frequency,10
433,2,780.835467458807,752,33,2015,Frequency,10
434,3,3215.5728951888127,752,33,2015,Frequency,10
435,1,6813.311720485009,752,33,2016,Frequency,10
436,2,1330.7934056666484,752,33,2016,Frequency,10
437,3,2985.6638246476805,752,33,2016,Frequency,10
438,1,10891.574327222135,752,33,2017,Frequency,10
439,2,2506.5194972020754,752,33,2017,Frequency,10
440,3,1312.045281277454,752,33,2017,Frequency,10
441,1,13672.570826919648,752,33,2018,Frequency,10
442,2,2811.049639180863,752,33,2018,Frequency,10
443,3,703.4219177665203,752,33,2018,Frequency,10
444,1,19086.81450217295,752,33,2019,Frequency,10
445,2,3628.852234985351,752,33,2019,Frequency,10
446,3,697.7767559481753,752,33,2019,Frequency,10
447,1,20534.702357590817,752,33,2020,Frequency,10
448,2,3801.817985141217,752,33,2020,Frequency,10
449,3,1075.563924696164,752,33,2020,Frequency,10
450,1,20063.9162751464,752,33,2021,Frequency,10
451,2,3479.413867137521,752,33,2021,Frequency,10
452,3,1051.1136708673212,752,33,2021,Frequency,10
453,1,20101.005339233023,752,33,2022,Frequency,10
454,2,4786.649048675871,752,33,2022,Frequency,10
455,3,1234.751535149548,752,33,2022,Frequency,10
456,1,4529.023543826075,7741,33,1985,Frequency,10
457,2,5780.998797255528,7741,33,1985,Frequency,10
458,3,3991.269503309544,7741,33,1985,Frequency,10
459,1,5025.499544335183,7741,33,1986,Frequency,10
460,2,8345.349188645729,7741,33,1986,Frequency,10
461,3,6063.5551974479,7741,33,1986,Frequency,10
462,1,4297.260835254032,7741,33,1987,Frequency,10
463,2,6769.684604271613,7741,33,1987,Frequency,10
464,3,5089.681304645596,7741,33,1987,Frequency,10
465,1,4226.010685833823,7741,33,1988,Frequency,10
466,2,7230.624029163212,7741,33,1988,Frequency,10
467,3,4296.348512457357,7741,33,1988,Frequency,10
468,1,3787.485792657626,7741,33,1989,Frequency,10
469,2,3862.633658824486,7741,33,1989,Frequency,10
470,3,5076.419538687589,7741,33,1989,Frequency,10
471,1,4528.855811909167,7741,33,1990,Frequency,10
472,2,5797.540990395677,7741,33,1990,Frequency,10
473,3,6062.1159131978,7741,33,1990,Frequency,10
474,1,4174.26593612404,7741,33,1991,Frequency,10
475,2,4973.135144699893,7741,33,1991,Frequency,10
476,3,4032.903769075677,7741,33,1991,Frequency,10
477,1,5009.53615339751,7741,33,1992,Frequency,10
478,2,16454.743506444924,7741,33,1992,Frequency,10
479,3,2537.796242815161,7741,33,1992,Frequency,10
480,1,3992.652934633106,7741,33,1993,Frequency,10
