,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year,27
124,22,0,0,0,0,0,1,0,1,76111,GTB,6,2004,
125,33,0,0,0,0,0,0,3,3,76111,GTB,6,2004,
126,Total,2,39,2,29,0,12,3,87,76111,GTB,6,2004,
127,3,0,7,0,0,0,0,0,7,7622,GTB,6,1994,
128,4,0,18,0,0,0,0,0,18,7622,GTB,6,1994,
129,12,0,1,0,0,0,0,0,1,7622,GTB,6,1994,
130,15,0,3,2,6,0,0,0,11,7622,GTB,6,1994,
131,18,0,0,0,0,0,0,0,0,7622,GTB,6,1994,
132,22,0,0,0,0,0,0,0,0,7622,GTB,6,1994,
133,33,0,0,0,0,0,0,0,0,7622,GTB,6,1994,
134,Total,0,29,2,6,0,0,0,37,7622,GTB,6,1994,
135,3,0,0,0,0,0,0,0,0,758,GTB,9,1993,0.0
136,4,0,70,14,13,0,12,1,112,758,GTB,9,1993,2.0
137,12,0,0,0,0,0,5,0,5,758,GTB,9,1993,0.0
138,15,0,28,5,35,0,20,0,91,758,GTB,9,1993,3.0
139,18,0,2,0,0,0,0,0,2,758,GTB,9,1993,0.0
140,22,0,0,0,0,0,1,0,2,758,GTB,9,1993,1.0
141,27,0,0,0,0,0,0,0,0,758,GTB,9,1993,0.0
142,33,0,0,1,0,0,1,0,3,758,GTB,9,1993,1.0
143,Total,0,100,20,48,0,39,1,215,758,GTB,9,1993,7.0
144,3,0,0,0,0,0,0,0,0,773,GTB,6,2003,
145,4,0,2,0,1,0,0,0,3,773,GTB,6,2003,
146,12,0,0,1,0,0,0,0,1,773,GTB,6,2003,
147,15,0,3,0,11,0,2,0,16,773,GTB,6,2003,
148,18,0,0,0,0,0,0,0,0,773,GTB,6,2003,
149,22,0,0,0,0,0,0,0,0,773,GTB,6,2003,
150,33,0,0,0,0,0,0,0,0,773,GTB,6,2003,
151,Total,0,5,1,12,0,2,0,20,773,GTB,6,2003,
152,3,7,8,0,0,1,0,0,16,754,GTB,10,2020,0.0
153,4,29,386,0,45,40,5,0,505,754,GTB,10,2020,0.0
154,12,1,5,0,6,2,3,0,17,754,GTB,10,2020,0.0
155,15,6,85,0,93,33,18,0,235,754,GTB,10,2020,0.0
156,18,1,6,0,3,2,2,0,14,754,GTB,10,2020,0.0
157,22,1,1,0,2,0,2,0,6,754,GTB,10,2020,0.0
158,27,0,0,0,0,0,0,0,0,754,GTB,10,2020,0.0
159,33,1,1,0,1,2,1,9,15,754,GTB,10,2020,0.0
