,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
138,12,0,1,0,0,0,0,0,1,7618,RF,6,1995
139,15,0,5,0,19,0,0,0,24,7618,RF,6,1995
140,18,0,0,0,0,0,0,0,0,7618,RF,6,1995
141,22,0,0,0,0,0,1,0,1,7618,RF,6,1995
142,33,0,0,0,0,0,0,0,0,7618,RF,6,1995
143,Total,1,59,0,22,0,2,1,85,7618,RF,6,1995
144,3,0,0,0,0,0,0,0,0,741,RF,7,2002
145,4,2,16,0,0,0,0,0,18,741,RF,7,2002
146,12,0,0,0,1,2,0,0,3,741,RF,7,2002
147,15,0,5,1,2,1,0,0,9,741,RF,7,2002
148,18,0,0,0,0,0,0,0,0,741,RF,7,2002
149,22,0,0,0,0,0,0,0,0,741,RF,7,2002
150,33,0,0,0,0,0,0,1,1,741,RF,7,2002
151,Total,2,21,1,3,3,0,1,31,741,RF,7,2002
152,3,0,0,0,0,0,0,0,0,756,RF,7,2019
153,4,0,6,1,1,0,0,0,8,756,RF,7,2019
154,12,0,0,0,0,0,0,0,0,756,RF,7,2019
155,15,0,0,0,0,0,0,0,0,756,RF,7,2019
156,18,0,0,0,0,0,0,0,0,756,RF,7,2019
157,22,0,0,0,0,0,0,0,0,756,RF,7,2019
158,33,0,0,0,0,0,1,0,1,756,RF,7,2019
159,Total,0,6,1,1,0,1,0,9,756,RF,7,2019
160,3,0,0,0,0,0,0,0,0,772,RF,6,1997
161,4,2,13,0,3,0,2,0,20,772,RF,6,1997
162,12,0,0,0,0,0,0,0,0,772,RF,6,1997
163,15,0,2,0,9,0,7,0,18,772,RF,6,1997
164,18,0,1,0,0,0,0,0,1,772,RF,6,1997
165,22,0,0,0,0,0,0,0,0,772,RF,6,1997
166,33,0,0,0,0,0,0,0,0,772,RF,6,1997
167,Total,2,16,0,12,0,9,0,39,772,RF,6,1997
168,3,0,0,0,0,0,0,0,0,773,RF,6,1992
169,4,0,2,1,0,0,1,0,4,773,RF,6,1992
170,12,0,0,0,0,0,0,1,1,773,RF,6,1992
171,15,0,4,0,7,0,4,0,15,773,RF,6,1992
172,18,0,0,0,0,0,0,0,0,773,RF,6,1992
173,22,0,0,0,0,0,0,0,0,773,RF,6,1992
174,33,0,0,0,0,0,0,0,0,773,RF,6,1992
175,Total,0,6,1,7,0,5,1,20,773,RF,6,1992
176,3,0,0,0,0,0,0,0,0,771,RF,5,1988
177,4,0,21,6,5,0,2,0,34,771,RF,5,1988
178,12,0,0,0,0,0,0,0,0,771,RF,5,1988
179,15,0,1,0,6,0,4,0,11,771,RF,5,1988
180,18,0,0,0,0,0,0,0,0,771,RF,5,1988
181,22,0,0,0,0,0,0,0,0,771,RF,5,1988
182,33,0,0,0,0,0,0,0,0,771,RF,5,1988
183,Total,0,22,6,11,0,6,0,45,771,RF,5,1988
184,3,4,3,0,0,0,0,0,7,744,RF,6,1986
185,4,31,191,21,9,0,3,4,259,744,RF,6,1986
186,12,0,5,4,3,0,1,0,13,744,RF,6,1986
187,15,0,5,8,16,0,4,0,33,744,RF,6,1986
188,18,0,0,0,2,0,2,0,4,744,RF,6,1986
189,22,0,1,0,0,0,0,0,1,744,RF,6,1986
190,33,0,0,1,0,0,0,0,1,744,RF,6,1986
191,Total,35,205,34,30,0,10,4,318,744,RF,6,1986
192,3,0,0,0,0,0,0,0,0,7614,RF,5,2016
193,4,2,25,0,1,0,1,0,29,7614,RF,5,2016
194,12,0,0,0,0,0,0,0,0,7614,RF,5,2016
195,15,0,3,0,0,0,0,0,3,7614,RF,5,2016
196,18,0,0,0,0,1,0,0,1,7614,RF,5,2016
197,22,0,0,0,0,0,0,0,0,7614,RF,5,2016
198,33,0,0,0,0,0,0,0,0,7614,RF,5,2016
199,Total,2,28,0,1,1,1,0,33,7614,RF,5,2016
200,3,0,0,0,0,0,0,0,0,7614,RF,5,2018
201,4,1,26,0,1,0,1,0,29,7614,RF,5,2018
202,12,0,0,0,0,0,0,0,0,7614,RF,5,2018
203,15,0,2,0,1,0,0,0,3,7614,RF,5,2018
204,18,0,1,0,0,0,0,0,1,7614,RF,5,2018
205,22,0,0,0,0,0,0,0,0,7614,RF,5,2018
206,33,0,0,0,0,0,0,0,0,7614,RF,5,2018
207,Total,1,29,0,2,0,1,0,33,7614,RF,5,2018
208,3,1,1,0,0,0,0,0,2,745,RF,5,2015
209,4,20,7,1,0,0,0,0,28,745,RF,5,2015
210,12,0,0,0,0,0,0,0,0,745,RF,5,2015
211,15,0,0,0,0,0,1,0,1,745,RF,5,2015
