,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
132,27,0,0,0,0,0,0,0,0,0,756,Gap-fill,10,1995
133,33,0,2,0,0,0,0,0,5,7,756,Gap-fill,10,1995
134,Total,0,195,0,0,0,18,0,8,221,756,Gap-fill,10,1995
135,3,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
136,4,0,1,0,0,0,0,0,0,1,773,Gap-fill,9,2010
137,12,0,0,0,0,0,0,0,1,1,773,Gap-fill,9,2010
138,15,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
139,18,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
140,22,1,1,0,0,0,0,0,0,2,773,Gap-fill,9,2010
141,27,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
142,33,0,0,0,0,0,0,0,0,0,773,Gap-fill,9,2010
143,Total,1,2,0,0,0,0,0,1,4,773,Gap-fill,9,2010
144,3,8,10,0,0,0,0,0,0,18,754,Gap-fill,9,1988
145,4,69,405,0,0,0,2,0,0,476,754,Gap-fill,9,1988
146,12,0,5,0,0,0,1,0,0,6,754,Gap-fill,9,1988
147,15,0,0,0,0,0,0,0,0,0,754,Gap-fill,9,1988
148,18,0,0,0,0,0,0,0,0,0,754,Gap-fill,9,1988
149,22,0,1,0,0,0,3,0,0,4,754,Gap-fill,9,1988
150,27,0,2,0,0,0,0,0,0,2,754,Gap-fill,9,1988
151,33,2,3,0,0,0,1,0,13,19,754,Gap-fill,9,1988
152,Total,79,426,0,0,0,7,0,13,525,754,Gap-fill,9,1988
153,3,2,0,0,0,0,0,0,0,2,741,Gap-fill,10,2014
154,4,11,61,2,0,0,2,0,0,76,741,Gap-fill,10,2014
155,12,0,1,0,0,0,0,0,0,1,741,Gap-fill,10,2014
156,15,0,0,0,0,0,0,0,0,0,741,Gap-fill,10,2014
157,18,0,0,0,0,0,0,0,0,0,741,Gap-fill,10,2014
158,22,0,0,0,0,0,1,0,0,1,741,Gap-fill,10,2014
159,27,0,0,0,0,0,0,0,0,0,741,Gap-fill,10,2014
160,33,0,0,0,0,0,1,0,1,2,741,Gap-fill,10,2014
161,Total,13,62,2,0,0,4,0,1,82,741,Gap-fill,10,2014
162,3,1,17,1,0,0,2,0,0,21,751,Gap-fill,9,2008
163,4,0,131,1,0,0,1,0,0,133,751,Gap-fill,9,2008
164,12,0,2,1,0,0,2,0,0,5,751,Gap-fill,9,2008
165,15,0,0,0,0,0,0,0,0,0,751,Gap-fill,9,2008
166,18,0,0,0,0,0,0,0,0,0,751,Gap-fill,9,2008
167,22,0,2,3,0,0,4,0,0,9,751,Gap-fill,9,2008
168,27,0,0,0,0,0,0,0,0,0,751,Gap-fill,9,2008
169,33,0,0,1,0,0,2,0,0,3,751,Gap-fill,9,2008
170,Total,1,152,7,0,0,11,0,0,171,751,Gap-fill,9,2008
171,3,0,0,0,0,0,0,0,0,0,773,Gap-fill,10,2009
172,4,0,2,0,0,0,0,0,0,2,773,Gap-fill,10,2009
173,12,0,1,0,0,0,0,0,0,1,773,Gap-fill,10,2009
174,15,0,0,0,0,0,0,0,0,0,773,Gap-fill,10,2009
175,18,0,0,0,0,0,0,0,0,0,773,Gap-fill,10,2009
176,22,0,2,0,0,0,0,0,0,2,773,Gap-fill,10,2009
177,27,0,0,0,0,0,0,0,0,0,773,Gap-fill,10,2009
178,33,0,0,0,0,0,0,0,0,0,773,Gap-fill,10,2009
179,Total,0,5,0,0,0,0,0,0,5,773,Gap-fill,10,2009
180,3,0,9,0,0,0,0,0,0,9,764,Gap-fill,10,1998
181,4,0,24,0,0,0,1,0,0,25,764,Gap-fill,10,1998
182,12,0,0,0,0,0,0,0,0,0,764,Gap-fill,10,1998
183,15,0,0,0,0,0,0,0,0,0,764,Gap-fill,10,1998
184,18,0,0,0,0,0,0,0,0,0,764,Gap-fill,10,1998
185,22,0,1,0,0,0,1,0,0,2,764,Gap-fill,10,1998
186,27,0,0,0,0,0,0,0,0,0,764,Gap-fill,10,1998
187,33,0,0,0,0,0,0,0,0,0,764,Gap-fill,10,1998
188,Total,0,34,0,0,0,2,0,0,36,764,Gap-fill,10,1998
189,3,0,1,0,0,0,0,0,0,1,7421,Gap-fill,9,2019
190,4,3,57,3,0,0,1,0,0,64,7421,Gap-fill,9,2019
191,12,0,0,0,0,0,1,0,0,1,7421,Gap-fill,9,2019
192,15,0,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
193,18,0,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
194,22,0,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
195,27,0,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
196,33,0,0,0,0,0,0,0,0,0,7421,Gap-fill,9,2019
197,Total,3,58,3,0,0,2,0,0,66,7421,Gap-fill,9,2019
198,3,8,2,0,0,0,0,0,0,10,772,Gap-fill,10,2016
199,4,5,94,5,0,0,1,0,0,105,772,Gap-fill,10,2016
200,12,0,1,0,0,0,0,0,0,1,772,Gap-fill,10,2016
201,15,0,0,0,0,0,0,0,0,0,772,Gap-fill,10,2016
202,18,0,0,0,0,0,0,0,0,0,772,Gap-fill,10,2016
203,22,0,0,0,0,0,1,0,0,1,772,Gap-fill,10,2016
204,27,0,0,0,0,0,0,0,0,0,772,Gap-fill,10,2016
205,33,0,0,0,0,0,0,0,1,1,772,Gap-fill,10,2016
206,Total,13,97,5,0,0,2,0,1,118,772,Gap-fill,10,2016
207,3,27,18,0,0,0,0,0,1,46,7741,Gap-fill,5,1989
208,4,35,101,8,0,0,2,0,0,146,7741,Gap-fill,5,1989
