,area,classe,year,Colacao,Bacia,cobertura,cob_level1,cob_color,nat_color,total
1047,12868.272714994664,12,2020,Col80,766,Grassland,Natural,#d6bc74,#32a65e,cobertura
1048,1715280.700844861,21,2020,Col80,766,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1049,9937.919927960234,22,2020,Col80,766,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1050,8793.446271717448,29,2020,Col80,766,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1051,4733.064658000504,33,2020,Col80,766,Water,Natural,#112013,#32a65e,cobertura
1052,38643.53636031166,3,2021,Col80,766,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1053,707581.5933854594,4,2021,Col80,766,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1054,13015.814952376137,12,2021,Col80,766,Grassland,Natural,#d6bc74,#32a65e,cobertura
1055,1718040.0470950687,21,2021,Col80,766,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1056,9846.031152509564,22,2021,Col80,766,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1057,8796.531411780417,29,2021,Col80,766,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1058,4712.525521870767,33,2021,Col80,766,Water,Natural,#112013,#32a65e,cobertura
1059,38420.73796593965,3,2022,Col80,766,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1060,705115.3000638284,4,2022,Col80,766,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1061,13025.0007558739,12,2022,Col80,766,Grassland,Natural,#d6bc74,#32a65e,cobertura
1062,1717802.9188342171,21,2022,Col80,766,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1063,10266.420146931812,22,2022,Col80,766,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1064,8785.782065526924,29,2022,Col80,766,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1065,7219.920047037084,33,2022,Col80,766,Water,Natural,#112013,#32a65e,cobertura
1066,129620.60348649869,3,1985,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1067,1570926.946317806,4,1985,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1068,34022.38450855508,12,1985,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1069,1731118.2144349073,21,1985,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1070,11024.836245872162,22,1985,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1071,7122.121991467301,29,1985,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1072,4852.796015464834,33,1985,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1073,129399.95054089688,3,1986,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
