,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
174,33,0,1,0,0,0,0,1,2,744,Temporal,9,2000
175,Total,21,484,23,0,0,8,3,539,744,Temporal,9,2000
176,3,1,1,0,0,0,0,0,2,76116,Temporal,5,2011
177,4,3,88,2,0,0,0,0,93,76116,Temporal,5,2011
178,12,0,0,1,0,0,1,0,2,76116,Temporal,5,2011
179,15,0,0,0,0,0,0,0,0,76116,Temporal,5,2011
180,18,0,0,0,0,0,0,0,0,76116,Temporal,5,2011
181,22,0,0,0,0,0,0,0,0,76116,Temporal,5,2011
182,33,0,0,0,0,0,0,9,9,76116,Temporal,5,2011
183,Total,4,89,3,0,0,1,9,106,76116,Temporal,5,2011
184,3,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
185,4,0,69,15,0,0,0,0,84,7616,Temporal,5,2002
186,12,0,1,2,0,0,0,0,3,7616,Temporal,5,2002
187,15,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
188,18,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
189,22,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
190,33,0,0,0,0,0,0,0,0,7616,Temporal,5,2002
191,Total,0,70,17,0,0,0,0,87,7616,Temporal,5,2002
192,3,0,9,0,0,0,0,0,9,76111,Temporal,9,1989
193,4,0,42,0,0,0,0,0,42,76111,Temporal,9,1989
194,12,0,0,0,0,0,0,0,0,76111,Temporal,9,1989
195,15,0,0,0,0,0,0,0,0,76111,Temporal,9,1989
196,18,0,0,0,0,0,0,0,0,76111,Temporal,9,1989
197,22,0,0,0,0,0,1,0,1,76111,Temporal,9,1989
198,33,0,0,0,0,0,0,3,3,76111,Temporal,9,1989
199,Total,0,51,0,0,0,1,3,55,76111,Temporal,9,1989
200,3,1,0,0,0,0,0,0,1,7615,Temporal,5,2006
201,4,0,117,43,0,0,1,0,161,7615,Temporal,5,2006
202,12,0,0,7,0,0,8,0,15,7615,Temporal,5,2006
203,15,0,0,0,0,0,0,0,0,7615,Temporal,5,2006
204,18,0,0,0,0,0,0,0,0,7615,Temporal,5,2006
205,22,0,1,0,0,0,2,0,3,7615,Temporal,5,2006
206,33,0,0,0,0,0,0,2,2,7615,Temporal,5,2006
