,classes,3,4,12,21,22,27,33,Total,bacia,model,version,year
1036,22,0,1,2,6,0,0,0,9,Caatinga,SpatialV2,15,2000
1037,27,0,0,0,0,0,0,0,0,Caatinga,SpatialV2,15,2000
1038,33,1,7,2,3,1,0,13,27,Caatinga,SpatialV2,15,2000
1039,Total,23,926,27,575,3,0,14,1568,Caatinga,SpatialV2,15,2000
1040,3,0,0,0,0,0,0,0,0,758,SpatialV2,15,2009
1041,4,1,65,0,15,0,0,0,81,758,SpatialV2,15,2009
1042,12,0,0,0,1,1,0,0,2,758,SpatialV2,15,2009
1043,21,1,41,0,32,1,0,0,75,758,SpatialV2,15,2009
1044,22,0,0,0,0,0,0,0,0,758,SpatialV2,15,2009
1045,27,0,0,0,0,0,0,0,0,758,SpatialV2,15,2009
1046,33,0,1,1,0,0,0,1,3,758,SpatialV2,15,2009
1047,Total,2,107,1,48,2,0,1,161,758,SpatialV2,15,2009
1048,3,1,3,0,0,0,0,0,4,757,SpatialV2,15,2022
1049,4,3,99,0,40,0,0,0,142,757,SpatialV2,15,2022
1050,12,0,0,0,2,0,0,0,2,757,SpatialV2,15,2022
1051,21,2,31,0,97,2,0,0,132,757,SpatialV2,15,2022
1052,22,0,1,0,1,0,0,0,2,757,SpatialV2,15,2022
1053,27,0,0,0,0,0,0,0,0,757,SpatialV2,15,2022
1054,33,0,1,0,2,0,0,4,7,757,SpatialV2,15,2022
1055,Total,6,135,0,142,2,0,4,289,757,SpatialV2,15,2022
1056,3,0,0,0,0,0,0,0,0,758,SpatialV2,15,2006
1057,4,0,70,0,14,0,0,0,84,758,SpatialV2,15,2006
1058,12,0,0,1,1,0,0,0,2,758,SpatialV2,15,2006
1059,21,0,34,2,35,1,0,0,72,758,SpatialV2,15,2006
1060,22,0,0,0,0,0,0,0,0,758,SpatialV2,15,2006
1061,27,0,0,0,0,0,0,0,0,758,SpatialV2,15,2006
1062,33,0,0,0,1,0,0,2,3,758,SpatialV2,15,2006
1063,Total,0,104,3,51,1,0,2,161,758,SpatialV2,15,2006
1064,3,5,16,0,1,0,0,0,22,Caatinga,SpatialV2,15,1988
1065,4,17,735,12,259,5,0,1,1029,Caatinga,SpatialV2,15,1988
1066,12,0,6,1,14,1,0,1,23,Caatinga,SpatialV2,15,1988
1067,21,5,148,5,294,3,0,0,455,Caatinga,SpatialV2,15,1988
1068,22,0,2,1,2,2,0,0,7,Caatinga,SpatialV2,15,1988
1069,27,0,0,0,0,0,0,0,0,Caatinga,SpatialV2,15,1988
1070,33,0,5,3,3,1,0,20,32,Caatinga,SpatialV2,15,1988
1071,Total,27,912,22,573,12,0,22,1568,Caatinga,SpatialV2,15,1988
1072,3,0,0,0,0,0,0,0,0,758,SpatialV2,15,2017
1073,4,0,70,0,10,1,0,0,81,758,SpatialV2,15,2017
1074,12,0,1,0,2,0,0,0,3,758,SpatialV2,15,2017
1075,21,2,32,1,39,1,0,0,75,758,SpatialV2,15,2017
1076,22,0,0,0,0,0,0,0,0,758,SpatialV2,15,2017
1077,27,0,0,0,0,0,0,0,0,758,SpatialV2,15,2017
1078,33,0,0,0,1,1,0,0,2,758,SpatialV2,15,2017
1079,Total,2,103,1,52,3,0,0,161,758,SpatialV2,15,2017
1080,3,0,0,0,0,0,0,0,0,758,SpatialV2,15,2018
1081,4,0,54,1,24,0,0,0,79,758,SpatialV2,15,2018
